"title","alias","catid","state","access","language","introtext","fact_title","fact_description","region_code"
"Herakleia ad Latmum (Darphane)","herakleia-ad-latmum-en","46","1","1","en-GB","Ancient mint","Herakleia ad Latmum","Founded on the shores of Lake Latmos (Bafa Lake), this beautiful city is at modern Kapikiri village near Milas district of Mugla province. It is famous for the legend of Endymion.","ionia-coins"
"Notion (Darphane)","notion-en","46","1","1","en-GB","Ancient mint","Notion","The port city of Colophon, Notion is near modern Menderes district of Izmir province. It gained importance during Alexander the Great's period.","ionia-coins"
"Myus (Darphane)","myus-en","46","1","1","en-GB","Ancient mint","Myus","One of the Twelve Ionian Cities, Myus is near modern Soke district of Aydin province. Its harbor filled with alluvium brought by the Meander River and was abandoned.","ionia-coins"
"Pygela (Darphane)","pygela-en","46","1","1","en-GB","Ancient mint","Pygela","A small but important port city near Ephesus, Pygela is near modern Selcuk district of Izmir province.","ionia-coins"
"Dioshieron (Darphane)","dioshieron-en","46","1","1","en-GB","Ancient mint","Dioshieron","A cult center famous for its temples of Zeus and Artemis in the Ionian region, Dioshieron is within modern Aydin province.","ionia-coins"
"Anaia (Darphane)","anaia-en","46","1","1","en-GB","Ancient mint","Anaia","An Ionian city in a strategic position across from Samos Island, Anaia is near modern Kusadasi district of Aydin province.","ionia-coins"
"Marathesion (Darphane)","marathesion-en","46","1","1","en-GB","Ancient mint","Marathesion","A small coin-minting city of the Ionian region, Marathesion is near modern Izmir province.","ionia-coins"
"Antiochia ad Maeandrum (Darphane)","antiochia-ad-maeandrum-en","46","1","1","en-GB","Ancient mint","Antiochia ad Maeandrum","Founded by the Seleucid King on the banks of the Greater Meander River, this city is within modern Aydin province. It was an important coin minting center during the Roman period.","caria-coins"
"Bargasa (Darphane)","bargasa-en","46","1","1","en-GB","Ancient mint","Bargasa","An important inland city of the Carian region, Bargasa is near modern Mugla province. It is known for its coins featuring Zeus and Artemis.","caria-coins"
"Herakleia Salbake (Darphane)","herakleia-salbake-en","46","1","1","en-GB","Ancient mint","Herakleia Salbake","Founded at the foothills of the Salbakos Mountains, this city is near modern Kale (Kelainai) village of Denizli province. Intensive coin minting occurred during the Roman period.","caria-coins"
"Keramos (Darphane)","keramos-en","46","1","1","en-GB","Ancient mint","Keramos","Famous for pottery production (the origin of the word ceramic), Keramos is near modern Oren village of Mugla province.","caria-coins"
"Euromos (Darphane)","euromos-en","46","1","1","en-GB","Ancient mint","Euromos","Famous for its well-preserved Temple of Zeus Lepsynos, Euromos is near modern Milas district of Mugla province. Its temple with 16 standing columns is impressive.","caria-coins"
"Amyzon (Darphane)","amyzon-en","46","1","1","en-GB","Ancient mint","Amyzon","Known for its cult of Artemis Amyzonos, this Carian city is within modern Mugla province.","caria-coins"
"Hyllarima (Darphane)","hyllarima-en","46","1","1","en-GB","Ancient mint","Hyllarima","A defensible city in the mountainous areas of Caria, Hyllarima is near modern Mugla province.","caria-coins"
"Bargylia (Darphane)","bargylia-en","46","1","1","en-GB","Ancient mint","Bargylia","An important port city on the Carian coast, Bargylia is near modern Milas district of Mugla province. It is known for its cult of Artemis Kindyas.","caria-coins"
"Theangela (Darphane)","theangela-en","46","1","1","en-GB","Ancient mint","Theangela","This Carian city near Etenna is near modern Bodrum district of Mugla province.","caria-coins"
"Syangela (Darphane)","syangela-en","46","1","1","en-GB","Ancient mint","Syangela","A small coin-minting city of the Carian region, Syangela is within modern Mugla province.","caria-coins"
"Orthosia (Darphane)","orthosia-en","46","1","1","en-GB","Ancient mint","Orthosia","One of the port cities on the Carian coast, Orthosia is near modern Mugla province.","caria-coins"
"Idyma (Darphane)","idyma-en","46","1","1","en-GB","Ancient mint","Idyma","A small but coin-minting city of Caria, Idyma is within modern Mugla province.","caria-coins"
"Termera (Darphane)","termera-en","46","1","1","en-GB","Ancient mint","Termera","One of the coastal cities of the Carian region, Termera is near modern Mugla province.","caria-coins"
"Antiphellos (Darphane)","antiphellos-en","46","1","1","en-GB","Ancient mint","Antiphellos","One of Lycia's important port cities, Antiphellos is modern Kas district of Antalya province. It was one of the Lycian League's coin-minting cities.","lycia-coins"
"Arykanda (Darphane)","arykanda-en","46","1","1","en-GB","Ancient mint","Arykanda","A magnificent Lycian city built on a steep slope, Arykanda is near modern Finike district of Antalya province. It is known for its well-preserved theater and baths.","lycia-coins"
"Rhodiapolis (Darphane)","rhodiapolis-en","46","1","1","en-GB","Ancient mint","Rhodiapolis","Known as the city of the philanthropist Opramoas, Rhodiapolis is near modern Kumluca district of Antalya province. It was one of the Lycian League's important members.","lycia-coins"
"Sidyma (Darphane)","sidyma-en","46","1","1","en-GB","Ancient mint","Sidyma","One of the six major cities of the Lycian League, Sidyma is at modern Dodurga village near Fethiye district of Mugla province.","lycia-coins"
"Kyaneai (Darphane)","kyaneai-en","46","1","1","en-GB","Ancient mint","Kyaneai","One of the six major cities of the Lycian League, Kyaneai is at modern Yavu village near Kas district of Antalya province. It has hundreds of rock-cut tombs.","lycia-coins"
"Aperlai (Darphane)","aperlai-en","46","1","1","en-GB","Ancient mint","Aperlai","The underwater city of Aperlai in the Kekova region is off modern Kas district of Antalya province. It was important as a port city of the Lycian League.","lycia-coins"
"Simena (Darphane)","simena-en","46","1","1","en-GB","Ancient mint","Simena","A small but important Lycian port in the Kekova region, Simena is at modern Kalekoy in Kas district of Antalya province. It is famous for its rock tombs and underwater remains.","lycia-coins"
"Korykos Lycia (Darphane)","korykos-lycia-en","46","1","1","en-GB","Ancient mint","Korykos Lycia","One of the coastal cities of the Lycian region, Korykos is near modern Antalya province.","lycia-coins"
"Gagae (Darphane)","gagae-en","46","1","1","en-GB","Ancient mint","Gagae","A small port city on the Lycian coast, Gagae is within modern Antalya province.","lycia-coins"
"Trebenna (Darphane)","trebenna-en","46","1","1","en-GB","Ancient mint","Trebenna","A coin-minting city in inland Lycia, Trebenna is near modern Antalya province.","lycia-coins"
"Podalia (Darphane)","podalia-en","46","1","1","en-GB","Ancient mint","Podalia","A member of the Lycian League, Podalia is within modern Antalya province.","lycia-coins"
"Akalissos (Darphane)","akalissos-en","46","1","1","en-GB","Ancient mint","Akalissos","A small coin-minting city of Lycia, Akalissos is near modern Antalya province.","lycia-coins"
"Trysa (Darphane)","trysa-en","46","1","1","en-GB","Ancient mint","Trysa","Known for its famous Trysa Heroon, this Lycian city is within modern Antalya province. The Heroon is in the Vienna Museum of Art History.","lycia-coins"
"Telandros (Darphane)","telandros-en","46","1","1","en-GB","Ancient mint","Telandros","A small coin-minting city of Lycia, Telandros is near modern Antalya province.","lycia-coins"
"Gagai (Darphane)","gagai-en","46","1","1","en-GB","Ancient mint","Gagai","A coin-minting city of the Lycian region, Gagai is within modern Antalya province.","lycia-coins"
"Korakesion (Darphane)","korakesion-en","46","1","1","en-GB","Ancient mint","Korakesion","The main base of the Cilician pirates, Korakesion is modern Alanya district of Antalya province. It played an important role in Pompeius's war against the pirates.","cilicia-coins"
"Korykos Cilicia (Darphane)","korykos-cilicia-en","46","1","1","en-GB","Ancient mint","Korykos Cilicia","Famous for Maiden's Castle (Kizkalesi), Korykos is modern Kizkalesi town in Erdemli district of Mersin province. It is known for its ancient harbor and two castles (land and sea) remains.","cilicia-coins"
"Olba-Diocaesarea (Darphane)","olba-diocaesarea-en","46","1","1","en-GB","Ancient mint","Olba-Diocaesarea","The center of the cult of Zeus Olbios, this important religious city is at modern Uzuncaburc near Silifke district of Mersin province. Its temple and theater are impressive.","cilicia-coins"
"Elaiussa Sebaste (Darphane)","elaiussa-sebaste-en","46","1","1","en-GB","Ancient mint","Elaiussa Sebaste","An important Cilician port city that flourished during Augustus's reign, Elaiussa Sebaste is at modern Ayas in Erdemli district of Mersin province. Roman period remains are abundant.","cilicia-coins"
"Anemurium (Darphane)","anemurium-en","46","1","1","en-GB","Ancient mint","Anemurium","This Cilician city founded on Cape Anamur is modern Anamur district of Mersin province. It is famous for its well-preserved Roman period baths.","cilicia-coins"
"Nagidos (Darphane)","nagidos-en","46","1","1","en-GB","Ancient mint","Nagidos","One of the important port cities of Cilicia Tracheia, Nagidos is on the coast of modern Mersin province. It is known for its Aphrodite coins.","cilicia-coins"
"Soloi (Darphane)","soloi-en","46","1","1","en-GB","Ancient mint","Soloi","One of Cilicia's oldest Greek colonies, Soloi is modern Mezitli district of Mersin province. It is the origin of the word 'solecism' (grammatical error).","cilicia-coins"
"Epiphaneia (Darphane)","epiphaneia-en","46","1","1","en-GB","Ancient mint","Epiphaneia","Founded by Seleucid King Antiochus IV Epiphanes, this city is near modern Ceyhan district of Adana province.","cilicia-coins"
"Adana Antik (Darphane)","adana-antik-en","46","1","1","en-GB","Ancient mint","Adana Antik","Ancient Adana (Antioch ad Sarum) founded on the banks of the Seyhan River is modern Adana city center. It was an important minting center during Roman and Byzantine periods.","cilicia-coins"
"Flaviopolis Cilicia (Darphane)","flaviopolis-cilicia-en","46","1","1","en-GB","Ancient mint","Flaviopolis Cilicia","Named in honor of the Flavian imperial family, this city is within modern Adana province.","cilicia-coins"
"Hierapolis Kastabala (Darphane)","hierapolis-kastabala-en","46","1","1","en-GB","Ancient mint","Hierapolis Kastabala","The sacred city of Artemis Perasia, Hierapolis-Kastabala is near modern Kadirli district of Osmaniye province. It was an important cult and minting center.","cilicia-coins"
"Laertes (Darphane)","laertes-en","46","1","1","en-GB","Ancient mint","Laertes","A small but coin-minting port city on the Cilician coast, Laertes is within modern Antalya province.","cilicia-coins"
"Syedra (Darphane)","syedra-en","46","1","1","en-GB","Ancient mint","Syedra","Built on a high hill near Alanya, Syedra is famous for its impressive water cisterns.","cilicia-coins"
"Iotape (Darphane)","iotape-en","46","1","1","en-GB","Ancient mint","Iotape","Founded in honor of Iotape, wife of Commagene King Antiochus IV, this city is near modern Gazipasa district of Antalya province.","cilicia-coins"
"Nephelis (Darphane)","nephelis-en","46","1","1","en-GB","Ancient mint","Nephelis","A small coin-minting city of Cilicia Tracheia, Nephelis is located in the modern coastal region.","cilicia-coins"
"Philadelphia Cilicia (Darphane)","philadelphia-cilicia-en","46","1","1","en-GB","Ancient mint","Philadelphia Cilicia","Founded by Pergamon King Attalos II Philadelphos in Cilicia, this city is near modern Adana province.","cilicia-coins"
"Aphrodisias Cilicia (Darphane)","aphrodisias-cilicia-en","46","1","1","en-GB","Ancient mint","Aphrodisias Cilicia","Known for its cult of Aphrodite, this Cilician city is located in the modern coastal region.","cilicia-coins"
"Augusta Cilicia (Darphane)","augusta-cilicia-en","46","1","1","en-GB","Ancient mint","Augusta Cilicia","A Cilician city named in honor of Emperor Augustus, located within modern regional boundaries.","cilicia-coins"
"Etenna (Darphane)","etenna-en","46","1","1","en-GB","Ancient mint","Etenna","Founded in a defensible position in the mountainous areas of Pamphylia, Etenna is near modern Manavgat district of Antalya province. It is known for its well-preserved walls.","pamphylia-coins"
"Seleucia Pamphylia (Darphane)","seleucia-pamphylia-en","46","1","1","en-GB","Ancient mint","Seleucia Pamphylia","A small coin-minting city of the Pamphylian region, Seleucia is within modern Antalya province.","pamphylia-coins"
"Syllium (Darphane)","syllium-en","46","1","1","en-GB","Ancient mint","Syllium","One of the hill cities of Pamphylia, Syllium is near modern Antalya province.","pamphylia-coins"
"Kremna Pamphylia (Darphane)","kremna-pamphylia-en","46","1","1","en-GB","Ancient mint","Kremna Pamphylia","Sometimes included in Pamphylia, Kremna is near modern Bucak district of Burdur province.","pamphylia-coins"
"Komama (Darphane)","komama-en","46","1","1","en-GB","Ancient mint","Komama","A coin-minting city of the Pisidian region, Komama is within modern Isparta province.","pisidia-coins"
"Prostanna (Darphane)","prostanna-en","46","1","1","en-GB","Ancient mint","Prostanna","A small but coin-minting city of Pisidia, Prostanna is near modern Isparta province.","pisidia-coins"
"Parlais (Darphane)","parlais-en","46","1","1","en-GB","Ancient mint","Parlais","A coin-minting city of the Pisidian region, Parlais is within modern Isparta province.","pisidia-coins"
"Isinda (Darphane)","isinda-en","46","1","1","en-GB","Ancient mint","Isinda","One of Pisidia's small cities, Isinda is near modern Isparta province.","pisidia-coins"
"Lysinoe (Darphane)","lysinoe-en","46","1","1","en-GB","Ancient mint","Lysinoe","A coin-minting city of the Pisidian region, Lysinoe is within modern regional boundaries.","pisidia-coins"
"Kasai (Darphane)","kasai-en","46","1","1","en-GB","Ancient mint","Kasai","A small coin-minting city of Pisidia, Kasai is within modern Isparta province.","pisidia-coins"
"Atarneus (Darphane)","atarneus-en","46","1","1","en-GB","Ancient mint","Atarneus","Atarneus, where Aristotle lived for a time and founded a school, is across from modern Dikili district of Balikesir province. It minted coins as an important Mysian city.","mysia-coins"
"Gambrion (Darphane)","gambrion-en","46","1","1","en-GB","Ancient mint","Gambrion","Known for its cult of Apollo Gambreios, this Mysian city is near modern Balikesir province.","mysia-coins"
"Parium (Darphane)","parium-en","46","1","1","en-GB","Ancient mint","Parium","An important Greek colony on the Propontis (Sea of Marmara) coast, Parium is at modern Kemer village near Biga district of Canakkale province. It is known for its famous electrum coins.","mysia-coins"
"Gergis (Darphane)","gergis-en","46","1","1","en-GB","Ancient mint","Gergis","An ancient city of the Mysian region, Gergis is within modern Canakkale province. It is associated with the Sibylla.","mysia-coins"
"Germe (Darphane)","germe-en","46","1","1","en-GB","Ancient mint","Germe","A small coin-minting city of Mysia, Germe is within modern regional boundaries.","mysia-coins"
"Hadrianeia Mysia (Darphane)","hadrianeia-mysia-en","46","1","1","en-GB","Ancient mint","Hadrianeia Mysia","Founded during Emperor Hadrian's reign, Hadrianeia is within modern Balikesir province.","mysia-coins"
"Miletopolis (Darphane)","miletopolis-en","46","1","1","en-GB","Ancient mint","Miletopolis","Founded by colonists from Miletus, Miletopolis is within modern Balikesir province.","mysia-coins"
"Pitane Mysia (Darphane)","pitane-mysia-en","46","1","1","en-GB","Ancient mint","Pitane Mysia","The city of Pitane in Mysia (different from Aeolis Pitane) is near modern Balikesir province.","mysia-coins"
"Hadrianotherae (Darphane)","hadrianotherae-en","46","1","1","en-GB","Ancient mint","Hadrianotherae","A hunting city founded by Emperor Hadrian, Hadrianotherae is near modern Balikesir province.","mysia-coins"
"Antandros (Darphane)","antandros-en","46","1","1","en-GB","Ancient mint","Antandros","An important port city at the foothills of Mount Ida, Antandros is at modern Altinoluk near Edremit district of Balikesir province. It is known as the place where Aeneas built his ships.","troas-coins"
"Skepsis (Darphane)","skepsis-en","46","1","1","en-GB","Ancient mint","Skepsis","An important inland city of the Troad region, Skepsis is within modern Canakkale province. It is associated with Corydalla.","troas-coins"
"Dardanos (Darphane)","dardanos-en","46","1","1","en-GB","Ancient mint","Dardanos","A strategic city on the Hellespont (Dardanelles Strait) coast, Dardanos is the origin of the name Dardanelles. It is near modern Canakkale province.","troas-coins"
"Gargara (Darphane)","gargara-en","46","1","1","en-GB","Ancient mint","Gargara","Founded at the foothills of Mount Ida, Gargara is near modern Canakkale province. It is known for its cult of Apollo Gargarensis.","troas-coins"
"Kebren (Darphane)","kebren-en","46","1","1","en-GB","Ancient mint","Kebren","A small but coin-minting city near Troy, Kebren is within modern Canakkale province.","troas-coins"
"Hamaxitos (Darphane)","hamaxitos-en","46","1","1","en-GB","Ancient mint","Hamaxitos","Known for its cult of Apollo Smintheus, Hamaxitos is near modern Canakkale province.","troas-coins"
"Neandria (Darphane)","neandria-en","46","1","1","en-GB","Ancient mint","Neandria","An archaic period city of the Troad region, Neandria is within modern Canakkale province.","troas-coins"
"Lamponia (Darphane)","lamponia-en","46","1","1","en-GB","Ancient mint","Lamponia","A small coin-minting city of the Troad, Lamponia is within modern regional boundaries.","troas-coins"
"Aegae Aeolis (Darphane)","aegae-aeolis-en","46","1","1","en-GB","Ancient mint","Aegae Aeolis","One of the important cities of Aeolis, Aegae is near modern Izmir province. It is known for its cult of Apollo.","aeolis-coins"
"Temnos (Darphane)","temnos-en","46","1","1","en-GB","Ancient mint","Temnos","A coin-minting city of Aeolis, Temnos is within modern Izmir province.","aeolis-coins"
"Attalia Aeolis (Darphane)","attalia-aeolis-en","46","1","1","en-GB","Ancient mint","Attalia Aeolis","An Aeolian city founded by the kings of Pergamon, Attalia is near modern Izmir province.","aeolis-coins"
"Neon Teichos (Darphane)","neon-teichos-en","46","1","1","en-GB","Ancient mint","Neon Teichos","Meaning 'New Wall', Neon Teichos is one of the small cities of the Aeolis region.","aeolis-coins"
"Killa (Darphane)","killa-en","46","1","1","en-GB","Ancient mint","Killa","A small coin-minting city of Aeolis, Killa is within modern regional boundaries.","aeolis-coins"
"Herakleia Aeolis (Darphane)","herakleia-aeolis-en","46","1","1","en-GB","Ancient mint","Herakleia Aeolis","The city of Herakleia in the Aeolis region is near modern Izmir province.","aeolis-coins"
"Tieion (Darphane)","tieion-en","46","1","1","en-GB","Ancient mint","Tieion","An important Greek colony on the Black Sea coast, Tieion is at the mouth of the Filyos River in modern Zonguldak province. It held a strategic position between Bithynia and Paphlagonia.","bithynia-coins"
"Krateia (Darphane)","krateia-en","46","1","1","en-GB","Ancient mint","Krateia","An important inland city of Bithynia, Krateia is near modern Bolu province. It is also known as Flaviopolis.","bithynia-coins"
"Bithynion (Darphane)","bithynion-en","46","1","1","en-GB","Ancient mint","Bithynion","The birthplace of Antinous, beloved of Emperor Hadrian, Bithynion-Claudiopolis is modern Gerede district of Bolu province.","bithynia-coins"
"Klaudiopolis (Darphane)","klaudiopolis-en","46","1","1","en-GB","Ancient mint","Klaudiopolis","One of Bithynia's cities that flourished during the Roman period, Claudiopolis is within modern Bolu province.","bithynia-coins"
"Hadrianopolis Bithynia (Darphane)","hadrianopolis-bithynia-en","46","1","1","en-GB","Ancient mint","Hadrianopolis Bithynia","Founded by Emperor Hadrian, Hadrianopolis is near modern Karabuk province.","bithynia-coins"
"Cius (Darphane)","cius-en","46","1","1","en-GB","Ancient mint","Cius","The port of Cius (different from but near Gemlik) was one of Bithynia's important port cities.","bithynia-coins"
"Polemonium (Darphane)","polemonium-en","46","1","1","en-GB","Ancient mint","Polemonium","Named in honor of King Polemon of Pontus, this city is near modern Ordu province. It was an important port city in Black Sea trade.","pontus-coins"
"Sebasteia Pontus (Darphane)","sebasteia-pontus-en","46","1","1","en-GB","Ancient mint","Sebasteia Pontus","Named Sebasteia in honor of Augustus (Sebastos), this is modern Sivas city center. It was an important minting center on the Pontus-Armenia Minor border.","pontus-coins"
"Neocaesarea (Darphane)","neocaesarea-en","46","1","1","en-GB","Ancient mint","Neocaesarea","Meaning 'New Caesar City', Neocaesarea (ancient Cabira) is near modern Tokat province. It is the birthplace of Saint Gregory.","pontus-coins"
"Pharnakeia (Darphane)","pharnakeia-en","46","1","1","en-GB","Ancient mint","Pharnakeia","A port city founded by King Pharnakes of Pontus, this city is near modern Giresun province.","pontus-coins"
"Kotyora (Darphane)","kotyora-en","46","1","1","en-GB","Ancient mint","Kotyora","An ancient Greek colony on the Black Sea coast, Kotyora is near modern Ordu province.","pontus-coins"
"Themiskyra (Darphane)","themiskyra-en","46","1","1","en-GB","Ancient mint","Themiskyra","Known as the capital of the legendary Amazon women warriors, Themiskyra is near modern Terme district of Samsun province.","pontus-coins"
"Ionopolis (Darphane)","ionopolis-en","46","1","1","en-GB","Ancient mint","Ionopolis","An important port city on the Paphlagonian coast, Ionopolis is near modern Kastamonu province.","pontus-coins"
"Sesamos (Darphane)","sesamos-en","46","1","1","en-GB","Ancient mint","Sesamos","A small but coin-minting port city of Paphlagonia, Sesamos is on the modern Black Sea coast.","pontus-coins"
"Kromna (Darphane)","kromna-en","46","1","1","en-GB","Ancient mint","Kromna","An ancient Greek colony on the Paphlagonian coast, Kromna is near modern Kastamonu province.","pontus-coins"
"Hadrianopolis Paphlagonia (Darphane)","hadrianopolis-paphlagonia-en","46","1","1","en-GB","Ancient mint","Hadrianopolis Paphlagonia","Founded by Emperor Hadrian in Paphlagonia, this city is near modern Karabuk province.","pontus-coins"
"Germa Galatia (Darphane)","germa-galatia-en","46","1","1","en-GB","Ancient mint","Germa Galatia","A coin-minting city of the Galatian region, Germa is within modern Ankara province.","galatia-coins"
"Kinna (Darphane)","kinna-en","46","1","1","en-GB","Ancient mint","Kinna","A small coin-minting city of Galatia, Kinna is within modern regional boundaries.","galatia-coins"
"Mnizos (Darphane)","mnizos-en","46","1","1","en-GB","Ancient mint","Mnizos","An ancient city of the Galatian region, Mnizos is near modern Ankara province.","galatia-coins"
"Orkistos (Darphane)","orkistos-en","46","1","1","en-GB","Ancient mint","Orkistos","A small but coin-minting city of Galatia, Orkistos is within modern Eskisehir province.","galatia-coins"
"Vindia (Darphane)","vindia-en","46","1","1","en-GB","Ancient mint","Vindia","A coin-minting city of the Galatian region, Vindia is within modern regional boundaries.","galatia-coins"
"Melitene (Darphane)","melitene-en","46","1","1","en-GB","Ancient mint","Melitene","The easternmost major city of Cappadocia, Melitene is modern Malatya city center. It was an important base for Roman legions and experienced intensive coin minting.","cappadocia-coins"
"Sebasteia Cappadocia (Darphane)","sebasteia-cappadocia-en","46","1","1","en-GB","Ancient mint","Sebasteia Cappadocia","One of the important cities of the Cappadocian region, Sebasteia is modern Sivas city center. It bordered Armenia Minor.","cappadocia-coins"
"Faustinopolis (Darphane)","faustinopolis-en","46","1","1","en-GB","Ancient mint","Faustinopolis","Named in honor of Empress Faustina, this city is near modern Kayseri province.","cappadocia-coins"
"Podandos (Darphane)","podandos-en","46","1","1","en-GB","Ancient mint","Podandos","A strategic stopping point near the Cilician Gates, Podandos is modern Pozanti district of Adana province.","cappadocia-coins"
"Koloneia (Darphane)","koloneia-en","46","1","1","en-GB","Ancient mint","Koloneia","A coin-minting city in northern Cappadocia, Koloneia is within modern regional boundaries.","cappadocia-coins"
"Hanisa (Darphane)","hanisa-en","46","1","1","en-GB","Ancient mint","Hanisa","A small coin-minting city of the Cappadocian region, Hanisa is within modern regional boundaries.","cappadocia-coins"
"Nysa Cappadocia (Darphane)","nysa-cappadocia-en","46","1","1","en-GB","Ancient mint","Nysa Cappadocia","A coin-minting city of Cappadocia, Nysa is within modern regional boundaries.","cappadocia-coins"
"Daldis (Darphane)","daldis-en","46","1","1","en-GB","Ancient mint","Daldis","A coin-minting city of the Lydian region, Daldis is within modern Manisa province. It was an active minting center during the Roman period.","lydia-coins"
"Saittai (Darphane)","saittai-en","46","1","1","en-GB","Ancient mint","Saittai","Also known as Sidas, Saittai is one of Lydia's coin-minting cities. It is near modern Manisa province.","lydia-coins"
"Tabala (Darphane)","tabala-en","46","1","1","en-GB","Ancient mint","Tabala","A small coin-minting city of the Lydian region, Tabala is within modern regional boundaries.","lydia-coins"
"Blaundos (Darphane)","blaundos-en","46","1","1","en-GB","Ancient mint","Blaundos","An important city on the Lydia-Phrygia border, Blaundos is at modern Sulumenli village near Ulubey district of Usak province. It is famous for its natural rock bridges.","lydia-coins"
"Aureliopolis (Darphane)","aureliopolis-en","46","1","1","en-GB","Ancient mint","Aureliopolis","A Lydian city named in honor of Emperor Marcus Aurelius, located within modern regional boundaries.","lydia-coins"
"Mostene (Darphane)","mostene-en","46","1","1","en-GB","Ancient mint","Mostene","A coin-minting city of the Lydian region, Mostene is near modern Manisa province.","lydia-coins"
"Silandos (Darphane)","silandos-en","46","1","1","en-GB","Ancient mint","Silandos","A coin-minting city of Lydia, Silandos is within modern Manisa province.","lydia-coins"
"Kollyda (Darphane)","kollyda-en","46","1","1","en-GB","Ancient mint","Kollyda","A small coin-minting city of the Lydian region, Kollyda is within modern regional boundaries.","lydia-coins"
"Akrasos (Darphane)","akrasos-en","46","1","1","en-GB","Ancient mint","Akrasos","A coin-minting city of Lydia, Akrasos is near modern Manisa province.","lydia-coins"
"Derbe (Darphane)","derbe-en","46","1","1","en-GB","Ancient mint","Derbe","One of the Lycaonian cities visited by Saint Paul, Derbe is within modern Konya province. It is important for early Christian history.","lycia-coins"
"Lystra (Darphane)","lystra-en","46","1","1","en-GB","Ancient mint","Lystra","A Lycaonian city where Saint Paul and Barnabas preached, Lystra is near modern Hatunsaray district of Konya province.","lycia-coins"
"Laranda (Darphane)","laranda-en","46","1","1","en-GB","Ancient mint","Laranda","One of the important cities of Lycaonia, Laranda is modern Karaman district of Konya province. It was an ancient minting city before becoming the center of the Karamanid Principality.","lycia-coins"
"Isaura (Darphane)","isaura-en","46","1","1","en-GB","Ancient mint","Isaura","The capital of mountainous Isauria, Isaura is in the mountainous areas of modern Konya province. It was the center of indigenous people who resisted Rome for a long time.","cilicia-coins"
