"title","alias","catid","state","access","language","introtext","fact_title","fact_description","region_code"
"Ephesos (Efes) (Darphane)","ephesos-en","46","1","1","en-GB","Ancient mint","Ephesos (Efes)","Located within the boundaries of Selçuk district in Izmir, famous for the Temple of Artemis, this was one of the most important metropolises of the ancient world.","ionia-coins"
"Klazomenai (Darphane)","klazomenai-en","46","1","1","en-GB","Ancient mint","Klazomenai","Another important Ionian city located near the Urla district of modern Izmir.","ionia-coins"
"Miletos (Milet) (Darphane)","miletos-en","46","1","1","en-GB","Ancient mint","Miletos (Milet)","Homeland of philosophers like Thales, this important harbor city is located near the Didim district of modern Aydın.","ionia-coins"
"Phokaia (Foça) (Darphane)","phokaia-en","46","1","1","en-GB","Ancient mint","Phokaia (Foça)","Known for their mastery of seafaring, this city was established at the site of present-day Foça, a resort town in Izmir.","ionia-coins"
"Smyrna (Darphane)","smyrna-en","46","1","1","en-GB","Ancient mint","Smyrna","The ancient city that forms the foundation of modern Izmir. It was an important minting center during the Roman period.","ionia-coins"
"Teos (Darphane)","teos-en","46","1","1","en-GB","Ancient mint","Teos","Known for its artists and especially the cult of Dionysus, this ancient city is within the boundaries of Seferihisar district in Izmir.","ionia-coins"
"Myra (Darphane)","myra-en","46","1","1","en-GB","Ancient mint","Myra","Famous for its rock-cut tombs and where Saint Nicholas (Santa Claus) served as bishop, this city is the modern Demre district of Antalya.","lycia-coins"
"Olympos (Darphane)","olympos-en","46","1","1","en-GB","Ancient mint","Olympos","Known for its eternal flame (Chimera), this harbor city is located near the Kemer district of modern Antalya.","lycia-coins"
"Patara (Darphane)","patara-en","46","1","1","en-GB","Ancient mint","Patara","Home to the parliament building of the Lycian League, this major harbor city is also located near Kaş in Antalya.","lycia-coins"
"Tlos (Darphane)","tlos-en","46","1","1","en-GB","Ancient mint","Tlos","Believed to be where Bellerophon, owner of the winged horse Pegasus, lived, this city built on a steep hill is within the boundaries of Fethiye district in Muğla.","lycia-coins"
"Xanthos (Ksanthos) (Darphane)","xanthos-en","46","1","1","en-GB","Ancient mint","Xanthos (Ksanthos)","The capital of the Lycian League, this important city is today located at Kınık neighborhood near the Kaş district of Antalya.","lycia-coins"
"Sardes (Sardis) (Darphane)","sardes-en","46","1","1","en-GB","Ancient mint","Sardes (Sardis)","The capital of Lydia and its most important minting center, Sardes is located near Salihli district of modern Manisa. It is accepted that the first coins in history were minted here.","lydia-coins"
"Adramytteion (Darphane)","adramytteion-en","46","1","1","en-GB","Ancient mint","Adramytteion","This ancient harbor city that gave its name to the Gulf of Edremit was located in the Edremit/Burhaniye area of modern Balıkesir.","mysia-coins"
"Kyzikos (Cyzicus) (Darphane)","kyzikos-en","46","1","1","en-GB","Ancient mint","Kyzikos (Cyzicus)","One of the wealthiest cities of antiquity, known for its electrum (gold-silver alloy) coins, Kyzikos is located on the Kapıdağ Peninsula near Erdek district in Balıkesir.","mysia-coins"
"Lampsakos (Lampsacus) (Darphane)","lampsakos-en","46","1","1","en-GB","Ancient mint","Lampsakos (Lampsacus)","Strategically positioned on the coast of the Dardanelles (Hellespont), this city gave its name to the modern Lapseki district of Çanakkale.","mysia-coins"
"Pergamon (Bergama) (Darphane)","pergamon-en","46","1","1","en-GB","Ancient mint","Pergamon (Bergama)","Capital of the Hellenistic Kingdom of Pergamon and famous for the invention of parchment, this great city is located in the Bergama district of modern Izmir.","mysia-coins"
"Aspendos (Darphane)","aspendos-en","46","1","1","en-GB","Ancient mint","Aspendos","Known for its best-preserved ancient theater, Aspendos is within the boundaries of modern Serik district in Antalya.","pamphylia-coins"
"Attaleia (Darphane)","attaleia-en","46","1","1","en-GB","Ancient mint","Attaleia","Founded by King Attalos II of Pergamon, Attaleia is the ancient heart of modern Antalya city and was an important Pamphylian city.","pamphylia-coins"
"Perge (Darphane)","perge-en","46","1","1","en-GB","Ancient mint","Perge","Located just beside Antalya in the modern Aksu district, this was one of the most important cities of the province.","pamphylia-coins"
"Side (Darphane)","side-en","46","1","1","en-GB","Ancient mint","Side","A popular tourist destination today, Side was also one of the most important harbor and minting centers in ancient times.","pamphylia-coins"
"Apameia Kibotos (Darphane)","apameia-kibotos-en","46","1","1","en-GB","Ancient mint","Apameia Kibotos","One of the most prolific minting centers during the Hellenistic and Roman periods, Apameia is the modern Dinar district of Afyonkarahisar.","phrygia-coins"
"Gordion (Darphane)","gordion-en","46","1","1","en-GB","Ancient mint","Gordion","Capital of the legendary Phrygian King Midas, Gordion is located near the Polatlı district of modern Ankara.","phrygia-coins"
"Kotiaeion (Cotiaeum) (Darphane)","kotiaeion-en","46","1","1","en-GB","Ancient mint","Kotiaeion (Cotiaeum)","The ancient city of Kotiaeion was founded at the site of present-day Kütahya city.","phrygia-coins"
"Laodikeia (Laodicea on the Lycus) (Darphane)","laodikeia-en","46","1","1","en-GB","Ancient mint","Laodikeia (Laodicea on the Lycus)","Famous for its textile products, this wealthy city is located near the modern Denizli province.","phrygia-coins"
"Antiocheia (Pisidya Antiocheia'sı) (Darphane)","antiocheia-en","46","1","1","en-GB","Ancient mint","Antiocheia (Pisidya Antiocheia'sı)","This major city that served as capital of the Pisidian province during the Roman period is modern Yalvaç district in Isparta.","pisidia-coins"
"Kibyra (Darphane)","kibyra-en","46","1","1","en-GB","Ancient mint","Kibyra","Famous for its gladiators, this ancient city is located near the Gölhisar district of modern Burdur.","pisidia-coins"
"Kremna (Cremna) (Darphane)","kremna-en","46","1","1","en-GB","Ancient mint","Kremna (Cremna)","A Roman colony built on an impressive hilltop in the Bucak district of Burdur, serving as an important minting center.","pisidia-coins"
"Sagalassos (Darphane)","sagalassos-en","46","1","1","en-GB","Ancient mint","Sagalassos","Mentioned in your project plans, Sagalassos is within the boundaries of Ağlasun district in modern Burdur. It is one of the most important and best-preserved ancient cities of the region.","pisidia-coins"
"Selge (Darphane)","selge-en","46","1","1","en-GB","Ancient mint","Selge","An important mountain city located on the southern slopes of the Taurus Mountains, within the boundaries of Manavgat district in Antalya.","pisidia-coins"
"Termessos (Darphane)","termessos-en","46","1","1","en-GB","Ancient mint","Termessos","Located in Güllük Dağı National Park northwest of Antalya, this city is known for its pristine nature and well-preserved structures.","pisidia-coins"
"Amaseia (Amasya) (Darphane)","amaseia-en","46","1","1","en-GB","Ancient mint","Amaseia (Amasya)","The first capital of the Kingdom of Pontus, located in the Yeşilırmak (ancient Iris) valley, this is modern Amasya city.","pontus-coins"
"Amisos (Samsun) (Darphane)","amisos-en","46","1","1","en-GB","Ancient mint","Amisos (Samsun)","Forming the foundation of modern Samsun city, this was another major harbor city that played a key role in Black Sea trade and served as a royal mint.","pontus-coins"
"Kabeira (Neokaisareia) (Darphane)","kabeira-en","46","1","1","en-GB","Ancient mint","Kabeira (Neokaisareia)","An important fortress and mint of Mithridates VI, this is the modern Niksar district of Tokat province.","pontus-coins"
"Kerasos (Giresun) (Darphane)","kerasos-en","46","1","1","en-GB","Ancient mint","Kerasos (Giresun)","Founded at the site of modern Giresun city, this ancient harbor city is known as the place from which cherries spread to the world.","pontus-coins"
"Sinope (Sinop) (Darphane)","sinope-en","46","1","1","en-GB","Ancient mint","Sinope (Sinop)","Possessing one of the most important natural harbors of the Black Sea, this strategic Greek colony later became the capital of the Kingdom of Pontus and is modern Sinop city.","pontus-coins"
"Trapezus (Trabzon) (Darphane)","trapezus-en","46","1","1","en-GB","Ancient mint","Trapezus (Trabzon)","One of the easternmost important Greek colonies of the region, serving as one of the Black Sea gateways of the Silk Road, this is modern Trabzon city.","pontus-coins"
"Abydos (Darphane)","abydos-en","46","1","1","en-GB","Ancient mint","Abydos","Located at the narrowest point of the Dardanelles Strait, this ancient city at the key crossing point from Asia to Europe is near Nara Burnu, close to modern Çanakkale center.","troas-coins"
"Alexandria Troas (Darphane)","alexandria-troas-en","46","1","1","en-GB","Ancient mint","Alexandria Troas","Founded by Alexander the Great's generals and considered in the Roman period as a potential ""New Rome,"" this massive harbor city is located near the Ezine district of modern Çanakkale.","troas-coins"
"Assos (Darphane)","assos-en","46","1","1","en-GB","Ancient mint","Assos","Famous for its Temple of Athena and where philosopher Aristotle lived for a time, this harbor city is located at Behramkale village in the Ayvacık district of Çanakkale.","troas-coins"
"Sigeion (Yeniköy) (Darphane)","sigeion-en","46","1","1","en-GB","Ancient mint","Sigeion (Yeniköy)","Located at the Aegean entrance of the Dardanelles, where Achilles's tomb is believed to be, this ancient city is near Yeniköy connected to modern Çanakkale center.","troas-coins"
"Tenedos (Bozcaada) (Darphane)","tenedos-en","46","1","1","en-GB","Ancient mint","Tenedos (Bozcaada)","Located directly across from Troy, playing a strategic role in the Iliad and minting its own coins, this is modern Bozcaada island.","troas-coins"
"Troia (Ilium / Truva) (Darphane)","troia-en","46","1","1","en-GB","Ancient mint","Troia (Ilium / Truva)","Center of the legendary war and consisting of nine layers, this ancient city is located at Hisarlık Hill connected to modern Çanakkale city center.","troas-coins"
