"title","alias","catid","state","access","language","introtext","fact_title","fact_description","region_code"
"Miletos (Milet) (Darphane)","miletos","46","1","1","*","Antik darphane","Miletos (Milet)","Thales gibi filozofların anavatanı olan bu önemli liman kenti, günümüz Aydın'ın Didim ilçesi yakınlarındadır.","ionia-coins"
"Phokaia (Foça) (Darphane)","phokaia","46","1","1","*","Antik darphane","Phokaia (Foça)","Denizcilikteki ustalıklarıyla bilinen bu kent, günümüzdeki tatil beldesi Foça, İzmir'in bulunduğu yerde kurulmuştur.","ionia-coins"
"Smyrna (Darphane)","smyrna","46","1","1","*","Antik darphane","Smyrna","Günümüzdeki modern İzmir şehrinin temelini oluşturan antik kenttir. Roma döneminde önemli bir darphane merkeziydi.","ionia-coins"
"Teos (Darphane)","teos","46","1","1","*","Antik darphane","Teos","Sanatçılar ve özellikle Dionysos kültü ile tanınan antik kent, İzmir'in Seferihisar ilçesi sınırlarındadır.","ionia-coins"
"Myra (Darphane)","myra","46","1","1","*","Antik darphane","Myra","Kaya mezarlarıyla ünlü olan ve Aziz Nikolaos'un (Noel Baba) piskoposluk yaptığı kent, günümüzdeki Antalya'nın Demre ilçesidir.","lycia-coins"
"Olympos (Darphane)","olympos","46","1","1","*","Antik darphane","Olympos","Sönmeyen ateşi (Chimera) ile bilinen bu liman kenti, günümüz Antalya'sının Kemer ilçesi yakınlarındadır.","lycia-coins"
"Patara (Darphane)","patara","46","1","1","*","Antik darphane","Patara","Likya Birliği'nin meclis binasına ev sahipliği yapmış olan bu büyük liman kenti, yine Kaş, Antalya yakınlarındadır.","lycia-coins"
"Tlos (Darphane)","tlos","46","1","1","*","Antik darphane","Tlos","Uçan at Pegasus'un sahibi Bellerophon'un yaşadığına inanılan ve sarp bir tepeye kurulmuş olan bu kent, Muğla'nın Fethiye ilçesi sınırlarındadır.","lycia-coins"
"Xanthos (Ksanthos) (Darphane)","xanthos","46","1","1","*","Antik darphane","Xanthos (Ksanthos)","Likya Birliği'nin başkenti olan bu önemli kent, günümüzde Antalya'nın Kaş ilçesi yakınlarındaki Kınık mahallesinde yer alır.","lycia-coins"
"Sardes (Sardis) (Darphane)","sardes","46","1","1","*","Antik darphane","Sardes (Sardis)","Lidya'nın başkenti ve en önemli darphane merkezi olan Sardes, günümüzdeki Manisa'nın Salihli ilçesi yakınlarındadır. Tarihteki ilk sikkelerin burada basıldığı kabul edilir.","lydia-coins"
"Adramytteion (Darphane)","adramytteion","46","1","1","*","Antik darphane","Adramytteion","Edremit Körfezi'ne adını veren bu antik liman kenti, günümüz Balıkesir'in Edremit/Burhaniye civarında yer almaktaydı.","mysia-coins"
"Kyzikos (Cyzicus) (Darphane)","kyzikos","46","1","1","*","Antik darphane","Kyzikos (Cyzicus)","Antik çağın en zengin şehirlerinden biri olan ve elektrum (altın-gümüş alaşımı) sikkeleriyle tanınan Kyzikos, Balıkesir'in Erdek ilçesi yakınlarındaki Kapıdağ Yarımadası'nda bulunur.","mysia-coins"
"Lampsakos (Lampsacus) (Darphane)","lampsakos","46","1","1","*","Antik darphane","Lampsakos (Lampsacus)","Çanakkale Boğazı (Hellespont) kıyısında stratejik bir konuma sahip olan bu şehir, günümüz Çanakkale'nin Lapseki ilçesine adını vermiştir.","mysia-coins"
"Pergamon (Bergama) (Darphane)","pergamon","46","1","1","*","Antik darphane","Pergamon (Bergama)","Helenistik dönemde Bergama Krallığı'nın başkenti olan ve parşömenin icadıyla ünlenen bu büyük kent, günümüz İzmir'in Bergama ilçesinde yer almaktadır.","mysia-coins"
"Aspendos (Darphane)","aspendos","46","1","1","*","Antik darphane","Aspendos","En iyi korunmuş antik tiyatrosuyla bilinen Aspendos, günümüz Serik ilçesi sınırlarındadır.","pamphylia-coins"
"Attaleia (Darphane)","attaleia","46","1","1","*","Antik darphane","Attaleia","Ve tabii ki, günümüz Antalya şehrinin antik kalbi olan ve Bergama Kralı II. Attalos tarafından kurulan Attaleia da önemli bir Pamfilya kentiydi.","pamphylia-coins"
"Perge (Darphane)","perge","46","1","1","*","Antik darphane","Perge","Antalya'nın hemen yanı başında, günümüz Aksu ilçesinde yer alan, eyaletin en önemli şehirlerinden biriydi.","pamphylia-coins"
"Side (Darphane)","side","46","1","1","*","Antik darphane","Side","Günümüzün popüler turizm merkezi olan Side, antik dönemde de en önemli liman ve darphane merkezlerinden biriydi.","pamphylia-coins"
"Apameia Kibotos (Darphane)","apameia-kibotos","46","1","1","*","Antik darphane","Apameia Kibotos","Helenistik ve Roma dönemlerinde en yoğun sikke basan merkezlerden biri olan Apameia, günümüz Afyonkarahisar'ın Dinar ilçesidir.","phrygia-coins"
"Gordion (Darphane)","gordion","46","1","1","*","Antik darphane","Gordion","Frigya'nın efsanevi kralı Midas'ın da başkenti olan Gordion, günümüz Ankara'sının Polatlı ilçesi yakınlarındadır.","phrygia-coins"
"Kotiaeion (Cotiaeum) (Darphane)","kotiaeion","46","1","1","*","Antik darphane","Kotiaeion (Cotiaeum)","Antik Kotiaeion kenti, günümüz Kütahya şehrinin bulunduğu yerde kurulmuştur.","phrygia-coins"
"Laodikeia (Laodicea on the Lycus) (Darphane)","laodikeia","46","1","1","*","Antik darphane","Laodikeia (Laodicea on the Lycus)","Tekstil ürünleriyle ünlü bu zengin kent, günümüz Denizli ili yakınlarında yer alır.","phrygia-coins"
"Antiocheia (Pisidya Antiocheia'sı) (Darphane)","antiocheia","46","1","1","*","Antik darphane","Antiocheia (Pisidya Antiocheia'sı)","Roma döneminde Pisidya eyaletinin başkentliğini yapmış olan bu büyük şehir, bugünkü Isparta'nın Yalvaç ilçesindedir.","pisidia-coins"
"Kibyra (Darphane)","kibyra","46","1","1","*","Antik darphane","Kibyra","Gladyatörleriyle ünlü bu antik kent, günümüzdeki Burdur'un Gölhisar ilçesi yakınlarındadır.","pisidia-coins"
"Kremna (Cremna) (Darphane)","kremna","46","1","1","*","Antik darphane","Kremna (Cremna)","Burdur'un Bucak ilçesinde, etkileyici bir tepe üzerine kurulmuş bir Roma kolonisi ve önemli bir darphane merkezidir.","pisidia-coins"
"Sagalassos (Darphane)","sagalassos","46","1","1","*","Antik darphane","Sagalassos","Proje planınızda da adı geçen Sagalassos, günümüzdeki Burdur'un Ağlasun ilçesi sınırlarındadır. Bölgenin en önemli ve en iyi korunmuş antik kentlerinden biridir.","pisidia-coins"
"Selge (Darphane)","selge","46","1","1","*","Antik darphane","Selge","Torosların güney yamaçlarında, Antalya'nın Manavgat ilçesi sınırları içinde yer alan önemli bir dağ kentidir.","pisidia-coins"
"Termessos (Darphane)","termessos","46","1","1","*","Antik darphane","Termessos","Antalya'nın kuzeybatısındaki Güllük Dağı Milli Parkı içinde yer alan, el değmemiş doğası ve iyi korunmuş yapılarıyla bilinen bir şehirdir.","pisidia-coins"
"Amaseia (Amasya) (Darphane)","amaseia","46","1","1","*","Antik darphane","Amaseia (Amasya)","Pontus Krallığı'nın ilk başkenti olan ve Yeşilırmak (antik Iris) vadisinde yer alan, günümüz Amasya şehridir.","pontus-coins"
"Amisos (Samsun) (Darphane)","amisos","46","1","1","*","Antik darphane","Amisos (Samsun)","Günümüz Samsun şehrinin temelini oluşturan, Karadeniz ticaretinde kilit rol oynamış bir diğer büyük liman kenti ve krallık darphanesidir.","pontus-coins"
"Kabeira (Neokaisareia) (Darphane)","kabeira","46","1","1","*","Antik darphane","Kabeira (Neokaisareia)","Mithridates VI'nın önemli bir kalesi ve darphanesi olan, günümüz Tokat iline bağlı Niksar ilçesidir.","pontus-coins"
"Kerasos (Giresun) (Darphane)","kerasos","46","1","1","*","Antik darphane","Kerasos (Giresun)","Günümüz Giresun şehrinin bulunduğu yerde kurulan, kirazın dünyaya yayıldığı yer olarak bilinen antik liman kentidir.","pontus-coins"
"Sinope (Sinop) (Darphane)","sinope","46","1","1","*","Antik darphane","Sinope (Sinop)","Karadeniz'in en önemli doğal limanlarından birine sahip, stratejik bir Grek kolonisi ve daha sonra Pontus Krallığı'nın başkenti olan günümüz Sinop şehridir.","pontus-coins"
"Trapezus (Trabzon) (Darphane)","trapezus","46","1","1","*","Antik darphane","Trapezus (Trabzon)","Bölgenin en doğudaki önemli Grek kolonilerinden biri olan ve İpek Yolu'nun Karadeniz'e açılan kapılarından biri olarak hizmet veren günümüz Trabzon şehridir.","pontus-coins"
"Abydos (Darphane)","abydos","46","1","1","*","Antik darphane","Abydos","Çanakkale Boğazı'nın en dar yerinde, Asya'dan Avrupa'ya geçişin kilit noktası olan, günümüz Çanakkale merkezine yakın Nara Burnu civarındaki antik kenttir.","troas-coins"
"Alexandria Troas (Darphane)","alexandria-troas","46","1","1","*","Antik darphane","Alexandria Troas","Büyük İskender'in generalleri tarafından kurulan ve Roma döneminde ""Yeni Roma"" olması bile düşünülen devasa bir liman kenti; günümüz Çanakkale'nin Ezine ilçesi yakınlarındadır.","troas-coins"
"Assos (Darphane)","assos","46","1","1","*","Antik darphane","Assos","Athena Tapınağı ile ünlü, filozof Aristoteles'in bir süre yaşadığı, günümüz Çanakkale'nin Ayvacık ilçesine bağlı Behramkale köyünde yer alan liman kentidir.","troas-coins"
"Sigeion (Yeniköy) (Darphane)","sigeion","46","1","1","*","Antik darphane","Sigeion (Yeniköy)","Çanakkale Boğazı'nın Ege girişinde, Aşil'in mezarının bulunduğuna inanılan, günümüz Çanakkale merkeze bağlı Yeniköy yakınlarındaki antik kenttir.","troas-coins"
"Tenedos (Bozcaada) (Darphane)","tenedos","46","1","1","*","Antik darphane","Tenedos (Bozcaada)","Truva'nın tam karşısında yer alan, İlyada'da stratejik bir rol oynayan ve kendi adına sikke basan, günümüzdeki Bozcaada'dır.","troas-coins"
"Troia (Ilium / Truva) (Darphane)","troia","46","1","1","*","Antik darphane","Troia (Ilium / Truva)","Efsanevi savaşın merkezi olan ve dokuz katmandan oluşan, günümüz Çanakkale il merkezine bağlı Hisarlık Tepe'de yer alan antik kenttir.","troas-coins"
