"title","alias","catid","state","access","language","introtext","fact_title","fact_description","region_code"
"Antiochia ad Maeandrum (Darphane)","antiochia-ad-maeandrum-tr","46","1","1","tr-TR","Antik darphane","Antiochia ad Maeandrum","Büyük Menderes Nehri kıyısında Seleukos Kralı tarafından kurulan kent, günümüz Aydın ili sınırları içindedir. Roma döneminde önemli bir sikke basım merkeziydi.","caria-coins"
"Bargasa (Darphane)","bargasa-tr","46","1","1","tr-TR","Antik darphane","Bargasa","Karya bölgesinin iç kesimlerinde önemli bir kent olan Bargasa, günümüz Muğla ili yakınlarındadır. Zeus ve Artemis sikkeleryle bilinir.","caria-coins"
"Herakleia Salbake (Darphane)","herakleia-salbake-tr","46","1","1","tr-TR","Antik darphane","Herakleia Salbake","Salbakos Dağları eteklerinde kurulan bu kent, günümüz Denizli'nin Kale (Kelainai) köyü yakınlarındadır. Roma döneminde yoğun sikke basımı yapılmıştır.","caria-coins"
"Keramos (Darphane)","keramos-tr","46","1","1","tr-TR","Antik darphane","Keramos","Çanak-çömlek (seramik kelimesinin kökeni) üretimiyle ünlü Keramos, günümüz Muğla'nın Ören köyü yakınlarındadır.","caria-coins"
"Euromos (Darphane)","euromos-tr","46","1","1","tr-TR","Antik darphane","Euromos","İyi korunmuş Zeus Lepsynos tapınağıyla ünlü Euromos, günümüz Muğla'nın Milas ilçesi yakınlarındadır. 16 sütunu ayakta duran tapınağı etkileyicidir.","caria-coins"
"Amyzon (Darphane)","amyzon-tr","46","1","1","tr-TR","Antik darphane","Amyzon","Artemis Amyzonos kültüyle bilinen bu Karya kenti, günümüz Muğla ili sınırları içindedir.","caria-coins"
"Hyllarima (Darphane)","hyllarima-tr","46","1","1","tr-TR","Antik darphane","Hyllarima","Karya'nın dağlık kesimlerindeki savunulabilir kentlerden Hyllarima, günümüz Muğla ili yakınlarındadır.","caria-coins"
"Bargylia (Darphane)","bargylia-tr","46","1","1","tr-TR","Antik darphane","Bargylia","Karya kıyısında önemli bir liman kenti olan Bargylia, günümüz Muğla'nın Milas ilçesi yakınlarındadır. Artemis Kindyas kültüyle bilinir.","caria-coins"
"Theangela (Darphane)","theangela-tr","46","1","1","tr-TR","Antik darphane","Theangela","Etenna yakınlarındaki bu Karya kenti, günümüz Muğla'nın Bodrum ilçesi yakınlarındadır.","caria-coins"
"Syangela (Darphane)","syangela-tr","46","1","1","tr-TR","Antik darphane","Syangela","Karya bölgesinin sikke basan küçük kentlerinden Syangela, günümüz Muğla ili sınırları içindedir.","caria-coins"
"Orthosia (Darphane)","orthosia-tr","46","1","1","tr-TR","Antik darphane","Orthosia","Karya kıyısındaki liman kentlerinden Orthosia, günümüz Muğla ili yakınlarındadır.","caria-coins"
"Idyma (Darphane)","idyma-tr","46","1","1","tr-TR","Antik darphane","Idyma","Karya'nın küçük ama sikke basan kentlerinden Idyma, günümüz Muğla ili sınırları içindedir.","caria-coins"
"Termera (Darphane)","termera-tr","46","1","1","tr-TR","Antik darphane","Termera","Karya bölgesinin kıyı kentlerinden Termera, günümüz Muğla ili yakınlarındadır.","caria-coins"
"Antiphellos (Darphane)","antiphellos-tr","46","1","1","tr-TR","Antik darphane","Antiphellos","Likya'nın önemli liman kentlerinden Antiphellos, günümüz Antalya'nın Kaş ilçesidir. Likya Birliği'nin sikke basan kentlerinden biriydi.","lycia-coins"
"Arykanda (Darphane)","arykanda-tr","46","1","1","tr-TR","Antik darphane","Arykanda","Sarp bir yamaç üzerine kurulmuş muhteşem Likya kenti Arykanda, günümüz Antalya'nın Finike ilçesi yakınlarındadır. İyi korunmuş tiyatro ve hamamlarıyla bilinir.","lycia-coins"
"Rhodiapolis (Darphane)","rhodiapolis-tr","46","1","1","tr-TR","Antik darphane","Rhodiapolis","Hayırsever Opramoas'ın kenti olarak bilinen Rhodiapolis, günümüz Antalya'nın Kumluca ilçesi yakınlarındadır. Likya Birliği'nin önemli üyelerinden biriydi.","lycia-coins"
"Sidyma (Darphane)","sidyma-tr","46","1","1","tr-TR","Antik darphane","Sidyma","Likya Birliği'nin altı büyük kentinden biri olan Sidyma, günümüz Muğla'nın Fethiye ilçesi yakınlarındaki Dodurga köyündedir.","lycia-coins"
"Kyaneai (Darphane)","kyaneai-tr","46","1","1","tr-TR","Antik darphane","Kyaneai","Likya Birliği'nin altı büyük kentinden biri olan Kyaneai, günümüz Antalya'nın Kaş ilçesi yakınlarındaki Yavu köyündedir. Yüzlerce kaya mezarı vardır.","lycia-coins"
"Aperlai (Darphane)","aperlai-tr","46","1","1","tr-TR","Antik darphane","Aperlai","Kekova bölgesindeki su altı kenti Aperlai, günümüz Antalya'nın Kaş ilçesi açıklarındadır. Likya Birliği'nin liman kenti olarak önemliydi.","lycia-coins"
"Simena (Darphane)","simena-tr","46","1","1","tr-TR","Antik darphane","Simena","Kekova bölgesindeki küçük ama önemli Likya limanı Simena, günümüz Antalya'nın Kaş ilçesindeki Kaleköy'dedir. Kaya mezarları ve su altı kalıntılarıyla ünlüdür.","lycia-coins"
"Korykos Lycia (Darphane)","korykos-lycia-tr","46","1","1","tr-TR","Antik darphane","Korykos Lycia","Likya bölgesinin kıyı kentlerinden Korykos, günümüz Antalya ili yakınlarındadır.","lycia-coins"
"Gagae (Darphane)","gagae-tr","46","1","1","tr-TR","Antik darphane","Gagae","Likya kıyısındaki küçük liman kenti Gagae, günümüz Antalya ili sınırları içindedir.","lycia-coins"
"Trebenna (Darphane)","trebenna-tr","46","1","1","tr-TR","Antik darphane","Trebenna","Likya'nın iç kesimlerindeki sikke basan kentlerden Trebenna, günümüz Antalya ili yakınlarındadır.","lycia-coins"
"Podalia (Darphane)","podalia-tr","46","1","1","tr-TR","Antik darphane","Podalia","Likya Birliği üyesi olan Podalia, günümüz Antalya ili sınırları içindedir.","lycia-coins"
"Akalissos (Darphane)","akalissos-tr","46","1","1","tr-TR","Antik darphane","Akalissos","Likya'nın küçük sikke basan kentlerinden Akalissos, günümüz Antalya ili yakınlarındadır.","lycia-coins"
"Trysa (Darphane)","trysa-tr","46","1","1","tr-TR","Antik darphane","Trysa","Ünlü Trysa Heroonuyla bilinen bu Likya kenti, günümüz Antalya ili sınırları içindedir. Heroon Viyana Sanat Tarihi Müzesi'ndedir.","lycia-coins"
"Telandros (Darphane)","telandros-tr","46","1","1","tr-TR","Antik darphane","Telandros","Likya'nın küçük sikke basan kentlerinden Telandros, günümüz Antalya ili yakınlarındadır.","lycia-coins"
"Gagai (Darphane)","gagai-tr","46","1","1","tr-TR","Antik darphane","Gagai","Likya bölgesinin sikke basan kentlerinden Gagai, günümüz Antalya ili sınırları içindedir.","lycia-coins"
"Korakesion (Darphane)","korakesion-tr","46","1","1","tr-TR","Antik darphane","Korakesion","Kilikya korsanlarının ana üssü olan Korakesion, günümüz Antalya'nın Alanya ilçesidir. Pompeius'un korsanlarla savaşında önemli rol oynamıştır.","cilicia-coins"
"Korykos Cilicia (Darphane)","korykos-cilicia-tr","46","1","1","tr-TR","Antik darphane","Korykos Cilicia","Kızkalesi ile ünlü Korykos, günümüz Mersin'in Erdemli ilçesindeki Kızkalesi beldesidirAntik liman ve iki kale (kara ve deniz) kalıntılarıyla bilinir.","cilicia-coins"
"Olba-Diocaesarea (Darphane)","olba-diocaesarea-tr","46","1","1","tr-TR","Antik darphane","Olba-Diocaesarea","Zeus Olbios kültünün merkezi olan bu önemli dini kent, günümüz Mersin'in Silifke ilçesi yakınlarındaki Uzuncaburç'tadır. Tapınak ve tiyatrosu etkileyicidir.","cilicia-coins"
"Elaiussa Sebaste (Darphane)","elaiussa-sebaste-tr","46","1","1","tr-TR","Antik darphane","Elaiussa Sebaste","Augustus döneminde gelişen önemli bir Kilikya liman kenti olan Elaiussa Sebaste, günümüz Mersin'in Erdemli ilçesindeki Ayaş'tadır. Roma dönemi kalıntıları zengindir.","cilicia-coins"
"Anemurium (Darphane)","anemurium-tr","46","1","1","tr-TR","Antik darphane","Anemurium","Anamur Burnu'nda kurulan bu Kilikya kenti, günümüz Mersin'in Anamur ilçesidir. Roma döneminin iyi korunmuş hamamlarıyla ünlüdür.","cilicia-coins"
"Nagidos (Darphane)","nagidos-tr","46","1","1","tr-TR","Antik darphane","Nagidos","Kilikya Tracheia'nın önemli liman kentlerinden Nagidos, günümüz Mersin ili kıyılarındadır. Aphrodite sikkeleryle bilinir.","cilicia-coins"
"Soloi (Darphane)","soloi-tr","46","1","1","tr-TR","Antik darphane","Soloi","Kilikya'nın en eski Yunan kolonilerinden Soloi, günümüz Mersin'in Mezitli ilçesindedir. 'Soloecism' (dilbilgisi hatası) kelimesinin kökenidir.","cilicia-coins"
"Epiphaneia (Darphane)","epiphaneia-tr","46","1","1","tr-TR","Antik darphane","Epiphaneia","Seleukos Kralı IV. Antiokhos Epiphanes tarafından kurulan kent, günümüz Adana'nın Ceyhan ilçesi yakınlarındadır.","cilicia-coins"
"Adana Antik (Darphane)","adana-antik-tr","46","1","1","tr-TR","Antik darphane","Adana Antik","Seyhan Nehri kıyısında kurulan antik Adana (Antioch ad Sarum), günümüz Adana il merkezidir. Roma ve Bizans dönemlerinde önemli bir darphane merkeziydi.","cilicia-coins"
"Flaviopolis Cilicia (Darphane)","flaviopolis-cilicia-tr","46","1","1","tr-TR","Antik darphane","Flaviopolis Cilicia","Flavius İmparator ailesi onuruna adlandırılan kent, günümüz Adana ili sınırları içindedir.","cilicia-coins"
"Hierapolis Kastabala (Darphane)","hierapolis-kastabala-tr","46","1","1","tr-TR","Antik darphane","Hierapolis Kastabala","Artemis Perasia'nın kutsal kenti olan Hierapolis-Kastabala, günümüz Osmaniye'nin Kadirli ilçesi yakınlarındadır. Önemli bir kült ve darphane merkeziydi.","cilicia-coins"
"Laertes (Darphane)","laertes-tr","46","1","1","tr-TR","Antik darphane","Laertes","Kilikya kıyısındaki küçük ama sikke basan liman kenti Laertes, günümüz Antalya ili sınırları içindedir.","cilicia-coins"
"Syedra (Darphane)","syedra-tr","46","1","1","tr-TR","Antik darphane","Syedra","Alanya yakınlarındaki yüksek bir tepe üzerinde kurulan Syedra, etkileyici su sarnıçlarıyla ünlüdür.","cilicia-coins"
"Iotape (Darphane)","iotape-tr","46","1","1","tr-TR","Antik darphane","Iotape","Komajen Kralı IV. Antiokhos'un karısı Iotape onuruna kurulan kent, günümüz Antalya'nın Gazipaşa ilçesi yakınlarındadır.","cilicia-coins"
"Nephelis (Darphane)","nephelis-tr","46","1","1","tr-TR","Antik darphane","Nephelis","Kilikya Tracheia'nın küçük sikke basan kentlerinden Nephelis, günümüz kıyı bölgesinde yer alır.","cilicia-coins"
"Philadelphia Cilicia (Darphane)","philadelphia-cilicia-tr","46","1","1","tr-TR","Antik darphane","Philadelphia Cilicia","Bergama Kralı II. Attalos Philadelphos tarafından Kilikya'da kurulan kent, günümüz Adana ili yakınlarındadır.","cilicia-coins"
"Aphrodisias Cilicia (Darphane)","aphrodisias-cilicia-tr","46","1","1","tr-TR","Antik darphane","Aphrodisias Cilicia","Aphrodite kültüyle bilinen bu Kilikya kenti, günümüz kıyı bölgesinde yer alır.","cilicia-coins"
"Augusta Cilicia (Darphane)","augusta-cilicia-tr","46","1","1","tr-TR","Antik darphane","Augusta Cilicia","Augustus İmparatoru onuruna adlandırılan Kilikya kenti, günümüz bölge sınırları içindedir.","cilicia-coins"
"Etenna (Darphane)","etenna-tr","46","1","1","tr-TR","Antik darphane","Etenna","Pamfilya'nın dağlık kesimlerinde savunulabilir bir konumda kurulan Etenna, günümüz Antalya'nın Manavgat ilçesi yakınlarındadır. İyi korunmuş surlarıyla bilinir.","pamphylia-coins"
"Seleucia Pamphylia (Darphane)","seleucia-pamphylia-tr","46","1","1","tr-TR","Antik darphane","Seleucia Pamphylia","Pamfilya bölgesinin küçük sikke basan kentlerinden Seleucia, günümüz Antalya ili sınırları içindedir.","pamphylia-coins"
"Syllium (Darphane)","syllium-tr","46","1","1","tr-TR","Antik darphane","Syllium","Pamfilya'nın tepe kentlerinden Syllium, günümüz Antalya ili yakınlarındadır.","pamphylia-coins"
"Kremna Pamphylia (Darphane)","kremna-pamphylia-tr","46","1","1","tr-TR","Antik darphane","Kremna Pamphylia","Bazen Pamfilya'ya da dahil edilen Kremna, günümüz Burdur'un Bucak ilçesi yakınlarındadır.","pamphylia-coins"
"Komama (Darphane)","komama-tr","46","1","1","tr-TR","Antik darphane","Komama","Pisidya bölgesinin sikke basan kentlerinden Komama, günümüz Isparta ili sınırları içindedir.","pisidia-coins"
"Prostanna (Darphane)","prostanna-tr","46","1","1","tr-TR","Antik darphane","Prostanna","Pisidya'nın küçük ama sikke basan kentlerinden Prostanna, günümüz Isparta ili yakınlarındadır.","pisidia-coins"
"Parlais (Darphane)","parlais-tr","46","1","1","tr-TR","Antik darphane","Parlais","Pisidya bölgesinin sikke basan kentlerinden Parlais, günümüz Isparta ili sınırları içindedir.","pisidia-coins"
"Isinda (Darphane)","isinda-tr","46","1","1","tr-TR","Antik darphane","Isinda","Pisidya'nın küçük kentlerinden Isinda, günümüz Isparta ili yakınlarındadır.","pisidia-coins"
"Lysinoe (Darphane)","lysinoe-tr","46","1","1","tr-TR","Antik darphane","Lysinoe","Pisidya bölgesinin sikke basan kentlerinden Lysinoe, günümüz bölge sınırları içindedir.","pisidia-coins"
"Kasai (Darphane)","kasai-tr","46","1","1","tr-TR","Antik darphane","Kasai","Pisidya'nın küçük sikke basan kentlerinden Kasai, günümüz Isparta ili sınırları içindedir.","pisidia-coins"
"Atarneus (Darphane)","atarneus-tr","46","1","1","tr-TR","Antik darphane","Atarneus","Aristoteles'in bir süre yaşadığı ve okul kurduğu Atarneus, günümüz Balıkesir'in Dikili ilçesi karşısındadır. Önemli bir Misya kenti olarak sikke basmıştır.","mysia-coins"
"Gambrion (Darphane)","gambrion-tr","46","1","1","tr-TR","Antik darphane","Gambrion","Apollon Gambreios kültüyle bilinen bu Misya kenti, günümüz Balıkesir ili yakınlarındadır.","mysia-coins"
"Parium (Darphane)","parium-tr","46","1","1","tr-TR","Antik darphane","Parium","Marmara Denizi (Propontis) kıyısında önemli bir Yunan kolonisi olan Parium, günümüz Çanakkale'nin Biga ilçesi yakınlarındaki Kemer köyündedir. Ünlü elektron sikkeleriyle bilinir.","mysia-coins"
"Gergis (Darphane)","gergis-tr","46","1","1","tr-TR","Antik darphane","Gergis","Misya bölgesinin antik kentlerinden Gergis, günümüz Çanakkale ili sınırları içindedir. Sibylla ile ilişkilendirilir.","mysia-coins"
"Germe (Darphane)","germe-tr","46","1","1","tr-TR","Antik darphane","Germe","Misya'nın küçük sikke basan kentlerinden Germe, günümüz bölge sınırları içindedir.","mysia-coins"
"Hadrianeia Mysia (Darphane)","hadrianeia-mysia-tr","46","1","1","tr-TR","Antik darphane","Hadrianeia Mysia","Hadrian İmparatoru döneminde kurulan Hadrianeia, günümüz Balıkesir ili sınırları içindedir.","mysia-coins"
"Miletopolis (Darphane)","miletopolis-tr","46","1","1","tr-TR","Antik darphane","Miletopolis","Miletli kolonistler tarafından kurulan Miletopolis, günümüz Balıkesir ili sınırları içindedir.","mysia-coins"
"Pitane Mysia (Darphane)","pitane-mysia-tr","46","1","1","tr-TR","Antik darphane","Pitane Mysia","Misya bölgesinin Pitane kenti (Aeolis Pitane'den farklı), günümüz Balıkesir ili yakınlarındadır.","mysia-coins"
"Hadrianotherae (Darphane)","hadrianotherae-tr","46","1","1","tr-TR","Antik darphane","Hadrianotherae","Hadrian İmparatoru tarafından kurulan av kenti Hadrianotherae, günümüz Balıkesir ili yakınlarındadır.","mysia-coins"
"Antandros (Darphane)","antandros-tr","46","1","1","tr-TR","Antik darphane","Antandros","İda Dağı eteklerinde önemli bir liman kenti olan Antandros, günümüz Balıkesir'in Edremit ilçesi yakınlarındaki Altınoluk'tadır. Aeneas'ın gemilerini yaptığı yer olarak bilinir.","troas-coins"
"Skepsis (Darphane)","skepsis-tr","46","1","1","tr-TR","Antik darphane","Skepsis","Troas bölgesinin iç kesimlerinde önemli bir kent olan Skepsis, günümüz Çanakkale ili sınırları içindedir. Corydalla ile ilişkilidir.","troas-coins"
"Dardanos (Darphane)","dardanos-tr","46","1","1","tr-TR","Antik darphane","Dardanos","Çanakkale Boğazı (Hellespontos) kıyısında stratejik bir kent olan Dardanos, Dardanelles adının kökenidirGünümüz Çanakkale ili yakınlarındadır.","troas-coins"
"Gargara (Darphane)","gargara-tr","46","1","1","tr-TR","Antik darphane","Gargara","İda Dağı eteklerinde kurulan Gargara, günümüz Çanakkale ili yakınlarındadır. Apollon Gargarensis kültüyle bilinir.","troas-coins"
"Kebren (Darphane)","kebren-tr","46","1","1","tr-TR","Antik darphane","Kebren","Troia yakınlarında küçük ama sikke basan bir kent olan Kebren, günümüz Çanakkale ili sınırları içindedir.","troas-coins"
"Hamaxitos (Darphane)","hamaxitos-tr","46","1","1","tr-TR","Antik darphane","Hamaxitos","Apollon Smintheus kültüyle bilinen Hamaxitos, günümüz Çanakkale ili yakınlarındadır.","troas-coins"
"Neandria (Darphane)","neandria-tr","46","1","1","tr-TR","Antik darphane","Neandria","Troas bölgesinin arkaik dönem kentlerinden Neandria, günümüz Çanakkale ili sınırları içindedir.","troas-coins"
"Lamponia (Darphane)","lamponia-tr","46","1","1","tr-TR","Antik darphane","Lamponia","Troas'ın küçük sikke basan kentlerinden Lamponia, günümüz bölge sınırları içindedir.","troas-coins"
"Aegae Aeolis (Darphane)","aegae-aeolis-tr","46","1","1","tr-TR","Antik darphane","Aegae Aeolis","Aeolis bölgesinin önemli kentlerinden Aegae, günümüz İzmir ili yakınlarındadır. Apollon kültüyle bilinir.","aeolis-coins"
"Temnos (Darphane)","temnos-tr","46","1","1","tr-TR","Antik darphane","Temnos","Aeolis'in sikke basan kentlerinden Temnos, günümüz İzmir ili sınırları içindedir.","aeolis-coins"
"Attalia Aeolis (Darphane)","attalia-aeolis-tr","46","1","1","tr-TR","Antik darphane","Attalia Aeolis","Bergama Kralları tarafından kurulan Aeolis kenti Attalia, günümüz İzmir ili yakınlarındadır.","aeolis-coins"
"Neon Teichos (Darphane)","neon-teichos-tr","46","1","1","tr-TR","Antik darphane","Neon Teichos","'Yeni Duvar' anlamına gelen Neon Teichos, Aeolis bölgesinin küçük kentlerinden biridir.","aeolis-coins"
"Killa (Darphane)","killa-tr","46","1","1","tr-TR","Antik darphane","Killa","Aeolis'in küçük sikke basan kentlerinden Killa, günümüz bölge sınırları içindedir.","aeolis-coins"
"Herakleia Aeolis (Darphane)","herakleia-aeolis-tr","46","1","1","tr-TR","Antik darphane","Herakleia Aeolis","Aeolis bölgesinin Herakleia kenti, günümüz İzmir ili yakınlarındadır.","aeolis-coins"
"Tieion (Darphane)","tieion-tr","46","1","1","tr-TR","Antik darphane","Tieion","Karadeniz kıyısında önemli bir Yunan kolonisi olan Tieion, günümüz Zonguldak'ın Filyos nehri ağzındadır. Bitinya ve Paflagonya arasında stratejik konumdaydı.","bithynia-coins"
"Krateia (Darphane)","krateia-tr","46","1","1","tr-TR","Antik darphane","Krateia","Bitinya'nın iç kesimlerinde önemli bir kent olan Krateia, günümüz Bolu ili yakınlarındadır. Flaviopolis olarak da bilinir.","bithynia-coins"
"Bithynion (Darphane)","bithynion-tr","46","1","1","tr-TR","Antik darphane","Bithynion","Hadrian İmparatoru'nun sevgilisi Antinous'un doğduğu kent olan Bithynion-Klaudiopolis, günümüz Bolu'nun Gerede ilçesidir.","bithynia-coins"
"Klaudiopolis (Darphane)","klaudiopolis-tr","46","1","1","tr-TR","Antik darphane","Klaudiopolis","Bitinya'nın Roma döneminde gelişen kentlerinden Klaudiopolis, günümüz Bolu ili sınırları içindedir.","bithynia-coins"
"Hadrianopolis Bithynia (Darphane)","hadrianopolis-bithynia-tr","46","1","1","tr-TR","Antik darphane","Hadrianopolis Bithynia","Hadrian İmparatoru tarafından kurulan Hadrianopolis, günümüz Karabük ili yakınlarındadır.","bithynia-coins"
"Cius (Darphane)","cius-tr","46","1","1","tr-TR","Antik darphane","Cius","Kios limanı (Gemlik'ten farklı ama yakın), Bitinya'nın önemli liman kentlerinden biriydi.","bithynia-coins"
"Polemonium (Darphane)","polemonium-tr","46","1","1","tr-TR","Antik darphane","Polemonium","Pontus Kralı Polemon onuruna adlandırılan kent, günümüz Ordu ili yakınlarındadır. Karadeniz ticaretinde önemli bir liman kentiydi.","pontus-coins"
"Sebasteia Pontus (Darphane)","sebasteia-pontus-tr","46","1","1","tr-TR","Antik darphane","Sebasteia Pontus","Augustus (Sebastos) onuruna adlandırılan Sebasteia, günümüz Sivas il merkezidir. Pontus-Armenia Minor sınırında önemli bir darphane merkeziydi.","pontus-coins"
"Neocaesarea (Darphane)","neocaesarea-tr","46","1","1","tr-TR","Antik darphane","Neocaesarea","'Yeni Caesar Şehri' anlamına gelen Neocaesarea (eski Cabira), günümüz Tokat ili yakınlarındadır. Aziz Gregory'nin doğum yeridir.","pontus-coins"
"Pharnakeia (Darphane)","pharnakeia-tr","46","1","1","tr-TR","Antik darphane","Pharnakeia","Pontus Kralı Pharnakes tarafından kurulan liman kenti, günümüz Giresun ili yakınlarındadır.","pontus-coins"
"Kotyora (Darphane)","kotyora-tr","46","1","1","tr-TR","Antik darphane","Kotyora","Karadeniz kıyısında antik bir Yunan kolonisi olan Kotyora, günümüz Ordu ili yakınlarındadır.","pontus-coins"
"Themiskyra (Darphane)","themiskyra-tr","46","1","1","tr-TR","Antik darphane","Themiskyra","Efsanevi Amazon kadın savaşçılarının başkenti olarak bilinen Themiskyra, günümüz Samsun'un Terme ilçesi yakınlarındadır.","pontus-coins"
"Ionopolis (Darphane)","ionopolis-tr","46","1","1","tr-TR","Antik darphane","Ionopolis","Paflagonya kıyısında önemli bir liman kenti olan Ionopolis, günümüz Kastamonu ili yakınlarındadır.","pontus-coins"
