title,alias,catid,state,access,language,introtext,ancient_name,modern_name,region_code
"Iasos","iasos",CATEGORY_ID,1,1,"*","Balıkçılık ile ünlü Karia liman şehri. Balık betimli sikkeleriyle tanınır.","Iasos","Kıyıkışlacık, Muğla, Türkiye","caria-coins"
"Kaunos","kaunos",CATEGORY_ID,1,1,"*","Karia-Lykia sınırındaki önemli liman şehri. Dikkat çekici kaya mezarları ile ünlü.","Kaunos","Dalyan, Muğla, Türkiye","caria-coins"
"Xanthos","xanthos",CATEGORY_ID,1,1,"*","Lykia Birliği'nin başkenti. Lykia dilinde yazıtlı sikkeleri ile önemli darphane.","Xanthos","Kınık, Antalya, Türkiye","lycia-coins"
"Patara","patara",CATEGORY_ID,1,1,"*","Lykia'nın önemli liman şehri. Apollon kültü merkezi ve darphane.","Patara","Gelemiş, Antalya, Türkiye","lycia-coins"
"Myra","myra",CATEGORY_ID,1,1,"*","Aziz Nikolaos'un piskoposluk yaptığı şehir. Lykia Birliği sikkelerini basan darphane.","Myra","Demre, Antalya, Türkiye","lycia-coins"
"Phaselis","phaselis",CATEGORY_ID,1,1,"*","Üç limanlı önemli ticaret şehri. Athena başlı sikkeleriyle tanınan darphane.","Phaselis","Tekirova, Antalya, Türkiye","lycia-coins"
"Limyra","limyra",CATEGORY_ID,1,1,"*","Lykia'nın iç bölgelerindeki önemli şehir. Perikles döneminde sikke basan darphane.","Limyra","Finike, Antalya, Türkiye","lycia-coins"
"Side","side",CATEGORY_ID,1,1,"*","Pamphylia'nın en önemli liman ve ticaret şehri. Athena-Apollon betimli sikkeleri ünlü.","Side","Manavgat, Antalya, Türkiye","pamphylia-coins"
"Perge","perge",CATEGORY_ID,1,1,"*","Artemis Pergaia kültü merkezi. Pamphylia'nın önemli darphane şehri.","Perge","Aksu, Antalya, Türkiye","pamphylia-coins"
"Aspendos","aspendos",CATEGORY_ID,1,1,"*","En iyi korunmuş antik tiyatro ile ünlü. Güreşçi betimli sikkeleriyle tanınan darphane.","Aspendos","Serik, Antalya, Türkiye","pamphylia-coins"
"Attaleia","attaleia",CATEGORY_ID,1,1,"*","II. Attalos tarafından kurulan şehir. Roma döneminde sikke basan darphane.","Attaleia","Antalya, Türkiye","pamphylia-coins"
"Tarsos","tarsos",CATEGORY_ID,1,1,"*","Aziz Paulus'un doğum yeri. Kilikia'nın en önemli darphane merkezi.","Tarsos","Tarsus, Mersin, Türkiye","cilicia-coins"
"Soloi","soloi",CATEGORY_ID,1,1,"*","Eski çağın ünlü bilim ve felsefe merkezi. Üzüm salkımı betimli sikkeleriyle tanınır.","Soloi","Mezitli, Mersin, Türkiye","cilicia-coins"
"Aigeai","aigeai",CATEGORY_ID,1,1,"*","Asklepios kültü merkezi. Tıp tanrısı betimli sikkeleriyle ünlü darphane.","Aigeai","Yumurtalık, Adana, Türkiye","cilicia-coins"
"Mallos","mallos",CATEGORY_ID,1,1,"*","Mitolojik kahin Amphilochos tarafından kurulduğuna inanılan şehir. Önemli darphane.","Mallos","Kızıltahta, Adana, Türkiye","cilicia-coins"
"Nagidos","nagidos",CATEGORY_ID,1,1,"*","Kilikia'nın Batı kıyısındaki liman şehri. Aphrodite ve Dionysos betimli sikkeleri ünlü.","Nagidos","Bozyazı yakını, Mersin, Türkiye","cilicia-coins"
"Sagalassos","sagalassos",CATEGORY_ID,1,1,"*","Pisidia'nın dağlık bölgelerindeki önemli şehir. İmparatorluk döneminde aktif darphane.","Sagalassos","Ağlasun, Burdur, Türkiye","pisidia-coins"
"Termessos","termessos",CATEGORY_ID,1,1,"*","Toros Dağları'nın güçlü ve bağımsız şehri. Büyük İskender'e bile direnmiş darphane.","Termessos","Korkuteli, Antalya, Türkiye","pisidia-coins"
"Antiocheia","antiocheia",CATEGORY_ID,1,1,"*","Pisidia'nın Roma kolonisi. Augusti tapınağı ve sikke üretimi ile ünlü.","Antiocheia","Yalvaç, Isparta, Türkiye","pisidia-coins"
"Apameia","apameia",CATEGORY_ID,1,1,"*","Phrygia'nın önemli ticaret merkezi. Nuh'un gemisi betimli sikkeleriyle ünlü darphane.","Apameia","Dinar, Afyonkarahisar, Türkiye","phrygia-coins"
"Laodikeia","laodikeia",CATEGORY_ID,1,1,"*","Yedi Kilise'den biri. Zengin ticaret şehri ve aktif darphane merkezi.","Laodikeia","Denizli, Türkiye","phrygia-coins"
"Hierapolis","hierapolis",CATEGORY_ID,1,1,"*","Kaplıcaları ile ünlü antik şehir. İmparatorluk çağında sikke basan darphane.","Hierapolis","Pamukkale, Denizli, Türkiye","phrygia-coins"
"Synnada","synnada",CATEGORY_ID,1,1,"*","Mermer ocakları ile ünlü Phrygia şehri. Roma döneminde sikke üretimi yaptı.","Synnada","Şuhut, Afyonkarahisar, Türkiye","phrygia-coins"
"Ankyra","ankyra",CATEGORY_ID,1,1,"*","Galatia'nın başkenti. Augustus'un vasiyetnamesinin (Res Gestae) bulunduğu şehir.","Ankyra","Ankara, Türkiye","galatia-coins"
"Pessinos","pessinos",CATEGORY_ID,1,1,"*","Kybele kültünün önemli merkezi. Galatia'nın kutsal şehri ve darphane.","Pessinos","Ballıhisar, Ankara, Türkiye","galatia-coins"
"Tavion","tavion",CATEGORY_ID,1,1,"*","Tektosages kabilesinin merkezi. Zeus tapınağı ve darphane şehri.","Tavion","Büyüknefes, Yozgat, Türkiye","galatia-coins"
"Kaisareia","kaisareia",CATEGORY_ID,1,1,"*","Kappadokia'nın başkenti ve en önemli şehri. Argaios Dağı betimli sikkeleriyle ünlü.","Kaisareia","Kayseri, Türkiye","cappadocia-coins"
"Tyana","tyana",CATEGORY_ID,1,1,"*","Ünlü filozof Apollonios'un doğum yeri. Kappadokia'nın önemli darphane şehri.","Tyana","Kemerhisar, Niğde, Türkiye","cappadocia-coins"
"Komana","komana",CATEGORY_ID,1,1,"*","Ma tanrıçasının kutsal şehri. Tapınak devleti statüsünde darphane merkezi.","Komana","Şar, Tokat, Türkiye","cappadocia-coins"
"Sinope","sinope",CATEGORY_ID,1,1,"*","Karadeniz'in en önemli liman şehri. Diogenes'in doğum yeri. Zengin darphane üretimi.","Sinope","Sinop, Türkiye","pontus-coins"
"Amisos","amisos",CATEGORY_ID,1,1,"*","Mithradates Krallığı'nın önemli şehri. Aktif Pontus darphane merkezi.","Amisos","Samsun, Türkiye","pontus-coins"
"Amaseia","amaseia",CATEGORY_ID,1,1,"*","Pontus krallarının başkenti. Coğrafyacı Strabon'un doğum yeri ve darphane.","Amaseia","Amasya, Türkiye","pontus-coins"
"Neokaisareia","neokaisareia",CATEGORY_ID,1,1,"*","Nero zamanında kurulan Pontus şehri. İmparatorluk sikkeleri basan darphane.","Neokaisareia","Niksar, Tokat, Türkiye","pontus-coins"
"Nikaia","nikaia",CATEGORY_ID,1,1,"*","İki ekümenik konsilin yapıldığı şehir. Bithynia'nın önemli darphane merkezi.","Nikaia","İznik, Bursa, Türkiye","bithynia-coins"
"Nikomedia","nikomedia",CATEGORY_ID,1,1,"*","Bithynia Krallığı'nın başkenti. Roma İmparatorluğu'nun Doğu başkentlerinden biri.","Nikomedia","İzmit, Kocaeli, Türkiye","bithynia-coins"
"Prusa","prusa",CATEGORY_ID,1,1,"*","Bithynia kralı Prusias tarafından kurulan şehir. Termal kaynakları ile ünlü darphane.","Prusa","Bursa, Türkiye","bithynia-coins"
"Kios","kios",CATEGORY_ID,1,1,"*","Marmara'nın önemli liman şehri. Bithynia'nın erken dönem darphane merkezi.","Kios","Gemlik, Bursa, Türkiye","bithynia-coins"
"Kalchedon","kalchedon",CATEGORY_ID,1,1,"*","Boğaz'ın Asya yakasındaki önemli şehir. 'Körlerin şehri' lakaplı darphane merkezi.","Kalchedon","Kadıköy, İstanbul, Türkiye","bithynia-coins"
