"title","alias","catid","state","access","language","introtext","fact_title","fact_description","region_code"
"Kios (Darphane)","kios","46","1","1","*","Antik darphane","Kios","Marmara Denizi kıyısında önemli bir liman kenti olan Kios, günümüz Bursa'nın Gemlik ilçesidir. Bitinya'nın erken dönem sikke merkezlerinden biriydi.","bithynia-coins"
"Apameia Myrlea (Darphane)","apameia-myrlea","46","1","1","*","Antik darphane","Apameia Myrlea","Bitinya Kralı I. Prusias tarafından yeniden kurulan bu kent, günümüz Bursa'nın Mudanya ilçesidir. Roma döneminde önemli bir darphane merkeziydi.","bithynia-coins"
"Iuliopolis (Darphane)","iuliopolis","46","1","1","*","Antik darphane","Iuliopolis","Roma İmparatoru Augustus döneminde kurulan Iuliopolis, günümüz Bolu ili sınırları içindedir. Bitinya'nın iç kesimlerindeki önemli sikke merkezlerinden biriydi.","bithynia-coins"
"Ankyra Galatia (Darphane)","ankyra-galatia","46","1","1","*","Antik darphane","Ankyra Galatia","Galatya'nın başkenti ve Augustus Tapınağı'nın bulunduğu Ankyra, günümüz Ankara'dır. Roma İmparatorluğu'nun doğudaki en önemli darphane merkezlerinden biriydi.","galatia-coins"
"Neapolis (Darphane)","neapolis","46","1","1","*","Antik darphane","Neapolis","Kapadokya bölgesinde önemli bir kent olan Neapolis, günümüz Nevşehir ili yakınlarındadır. Bölgenin sikke basımına katkı sağlayan merkezlerden biriydi.","cappadocia-coins"
"Komana Kappadokia (Darphane)","komana-kappadokia","46","1","1","*","Antik darphane","Komana Kappadokia","Ma tanrıçası kültünün Kapadokya'daki merkezi olan Komana, günümüz Tokat ili sınırları içindedir. Önemli bir dini ve ekonomik merkezdi.","cappadocia-coins"
"Kybistra (Darphane)","kybistra","46","1","1","*","Antik darphane","Kybistra","Kapadokya'nın güney kesimindeki önemli kentlerden Kybistra, günümüz Karaman'ın Ereğli ilçesidir. İpek Yolu üzerinde stratejik bir konuma sahipti.","cappadocia-coins"
"Elaia (Darphane)","elaia","46","1","1","*","Antik darphane","Elaia","Pergamon'un liman kenti olan Elaia, günümüz İzmir'in Aliağa ilçesindeki Zeytindağ köyü yakınlarındadır. Bergama Krallığı'nın deniz ticareti için önemliydi.","aeolis-coins"
"Aigai Aiolis (Darphane)","aigai-aiolis","46","1","1","*","Antik darphane","Aigai Aiolis","Aeolis'in önemli kentlerinden Aigai, günümüz İzmir'in Manisa Yuntdağları yakınlarındadır. Apollon Chresterios kültüyle bilinir.","aeolis-coins"
"Alexandreia Troas Ek (Darphane)","alexandreia-troas-ek","46","1","1","*","Antik darphane","Alexandreia Troas","Büyük İskender'in generalleri tarafından kurulan ve 'Küçük Roma' olarak anılan bu devasa liman kenti, Çanakkale'nin Ezine ilçesi yakınlarındadır. Roma döneminde çok yoğun sikke basımı yapılmıştır.","troas-coins"
