title,alias,catid,state,access,language,introtext,fact_title,fact_description,region_code
"Herakles Motifi","herakles-motifi",CATEGORY_ID,1,1,"*","Sikkelerde en çok betimlenen kahraman.","Herakles","Yunan mitolojisinin en ünlü kahramanı. Sikkelerde genellikle aslan postlu veya sopa taşıyan olarak betimlenir. Güç ve cesaret sembolü.","general"
"Athena ve Baykuş","athena-baykus",CATEGORY_ID,1,1,"*","Athena'nın kutsal hayvanı baykuş.","Athena ve Baykuş","Bilgelik tanrıçası Athena'nın sembolü baykuş, özellikle Atina sikkelerinde betimlenir. 'Baykuşları Atina'ya taşımak' deyimi buradan gelir.","general"
"Side - Nar Tanesi","side-nar",CATEGORY_ID,1,1,"*","Şehrin isminden gelen nar motifi.","Side","Nar anlamına gelen Side, sikkelerinde nar tanesi betimleyen tek antik şehirdir. Nar tanesi şehrin sembolüydü.","pamphylia-coins"
"Aspendos Tiyatrosu","aspendos-tiyatro",CATEGORY_ID,1,1,"*","Dünyanın en iyi korunmuş antik tiyatrosu.","Aspendos","Dünyanın en iyi korunmuş antik tiyatrosu. 15.000 kişilik oturma kapasitesi. Hala konser ve etkinliklerde kullanılır.","pamphylia-coins"
"Güreşçi Sikkeleri","guresci-sikkeleri",CATEGORY_ID,1,1,"*","Aspendos'un meşhur güreşçi betimli sikkeleri.","Aspendos Güreşçileri","Aspendos sikkelerinde iki güreşçi betimlenir. Şehirde düzenlenen atletizm yarışmalarına gönderme yapar. Çok nadir ve değerli sikkelerdir.","pamphylia-coins"
"Stater","stater",CATEGORY_ID,1,1,"*","Antik dünyanın temel para birimi.","Stater","Antik Yunan dünyasının temel para birimi. Altın, gümüş veya elektrondan yapılırdı. Değeri bölgeden bölgeye değişirdi.","general"
"Tarsos - Aziz Paulus","tarsos-paulus",CATEGORY_ID,1,1,"*","Hıristiyanlığın en önemli yayıcısının doğum yeri.","Tarsos","Aziz Paulus'un doğum yeri. Roma döneminde Kilikia'nın başkenti ve önemli ticaret merkezi. Antik filozofların eğitim aldığı şehir.","cilicia-coins"
"Knidos - Praxiteles Heykeli","knidos-aphrodite",CATEGORY_ID,1,1,"*","Antik dünyanın en ünlü Aphrodite heykeli.","Knidos Aphroditesi","Heykeltıraş Praxiteles'in yaptığı çıplak Aphrodite heykeli, antik dünyanın en ünlü heykellerin den biriydi. Knidos sikkelerinde betimlenir.","caria-coins"
"Halikarnassos Mozolesi","halikarnassos-mozole",CATEGORY_ID,1,1,"*","Yedi Harikadan biri - Mausolos'un anıt mezarı.","Mausoleum","Kral Mausolos için yapılan anıt mezar, antik dünyanın yedi harikasından biriydi. 'Mozole' kelimesi buradan gelir.","caria-coins"
"Zeus Betimi","zeus-betimi",CATEGORY_ID,1,1,"*","Tanrıların babası, sikkelerde sıkça görülür.","Zeus","Tanrıların babası Zeus, sikkelerde en sık betimlenen tanrıdır. Genellikle sakallı, şimşek tutan veya kartal ile gösterilir.","general"
"Xanthos Yazıtı","xanthos-yaziti",CATEGORY_ID,1,1,"*","Lykia dilinde yazılmış en uzun metin.","Xanthos","Lykia Birliği'nin başkenti. Lykia dilinde yazılmış en uzun metin burada bulundu. Sikkelerde Lykia alfabesi kullanıldı.","lycia-coins"
"Myra - Aziz Nikolaos","myra-nikolaos",CATEGORY_ID,1,1,"*","Noel Baba olarak bilinen Aziz Nikolaos'un şehri.","Myra","Aziz Nikolaos (Noel Baba) burada piskoposdu. Lykia Birliği'nin önemli üyesi. Roma dönemi tiyatrosu ve kaya mezarları ünlüdür.","lycia-coins"
"Artemis Kültü","artemis-kultu",CATEGORY_ID,1,1,"*","Anadolu'nun en yaygın tanrıça kültü.","Artemis","Anadolu'da en çok tapılan tanrıça. Ephesos, Perge ve Sardeis'te önemli tapınakları vardı. Sikkelerde avcı tanrıça olarak betimlenir.","general"
"Pergamon - Parşömen","pergamon-parsmen",CATEGORY_ID,1,1,"*","Parşömenin icadı ve adının kaynağı.","Parşömen","Mısır papirüs ihracatını kesince, Pergamon'da hayvan derisinden parşömen geliştirildi. İngilizce 'parchment' kelimesi Pergamon'dan gelir.","mysia-coins"
"Drahmi","drahmi",CATEGORY_ID,1,1,"*","Gümüş sikke, 'bir avuç' anlamına gelir.","Drahmi","Yunanca 'bir avuç' anlamına gelir. Altı obol değerinde gümüş sikke. Yunan dünyasının standart para birimi.","general"
"Smyrna - Homer","smyrna-homer",CATEGORY_ID,1,1,"*","İlyada ve Odysseia'nın yazarı Homer'in şehri.","Smyrna","Efsanevi şair Homer'in doğum yeri olduğu iddia edilir. Yedi aday şehirden biri. İzmir'in antik adı.","ionia-coins"
"Phokaia - Marseille","phokaia-marseille",CATEGORY_ID,1,1,"*","Batı Akdeniz kolonizasyonunun merkezi.","Phokaia","Fokaialılar Akdeniz'in batısını kolonize etti. Marsilya (Massalia), Nice ve Monaco'yu kurdular. Denizci şehir.","ionia-coins"
"Apollon Kültü","apollon-kultu",CATEGORY_ID,1,1,"*","Güneş, müzik ve kehanet tanrısı.","Apollon","Güneş, müzik, şiir ve kehanet tanrısı. Didyma, Klaros ve Patara'da önemli kehanet merkezleri vardı. Sikkelerde lir çalarken betimlenir.","general"
"Diogenes - Sinope","diogenes-sinope",CATEGORY_ID,1,1,"*","Fenerle insan arayan filozof.","Diogenes","Kinik felsefenin kurucusu Diogenes, Sinope'de doğdu. 'Gündüz fenerle dürüst insan arıyorum' sözüyle ünlüdür.","pontus-coins"
"Strabon - Amaseia","strabon-amaseia",CATEGORY_ID,1,1,"*","Ünlü coğrafyacı Strabon'un doğum yeri.","Strabon","Antik dünyanın en önemli coğrafyacısı Strabon, Amasya'da (Amaseia) doğdu. 'Geographika' eseri günümüze ulaştı.","pontus-coins"
"Triskeles","triskeles",CATEGORY_ID,1,1,"*","Üç bacaklı sembol, sikkelerde sıkça görülür.","Triskeles","Üç bacak veya üç kol motifi. Dinamizm ve hareket sembolü. Lykia sikkelerinde yaygın olarak kullanıldı.","general"
"Gorgon Başı","gorgon-basi",CATEGORY_ID,1,1,"*","Medusa'nın koruyucu gücü.","Gorgon","Yılan saçlı Medusa'nın başı. Kötülükten koruyucu güç olarak sikkelerde betimlenir. Athena'nın kalkanında da vardır.","general"
"Obol","obol",CATEGORY_ID,1,1,"*","En küçük gümüş sikke birimi.","Obol","Drahmi'nin altıda biri değerinde küçük gümüş sikke. Ölülerin ağzına Kharon'a ücret olarak konulurdu.","general"
"Sardeis - Karun Hazinesi","sardeis-karun",CATEGORY_ID,1,1,"*","Efsanevi zengin Kral Karun'un hazineleri.","Kral Karun","Efsanevi zengin Kral Karun (Kroisos), Sardeis'te hüküm sürdü. 'Karun kadar zengin' deyimi buradan gelir. Altın sikkeler bastırdı.","lydia-coins"
"Nikomedia - Roma Başkenti","nikomedia-roma",CATEGORY_ID,1,1,"*","Roma İmparatorluğu'nun Doğu başkenti.","Nikomedia","Diocletianus zamanında Roma İmparatorluğu'nun Doğu başkentiydi. Bugünkü İzmit. Önemli darphane merkezi.","bithynia-coins"
"Nikaia Konsilleri","nikaia-konsil",CATEGORY_ID,1,1,"*","Hıristiyanlığın temel inançlarını belirleyen toplantılar.","Nikaia","İki önemli ekümenik konsile ev sahipliği yaptı (325 ve 787). Hıristiyanlığın temel inançları burada şekillendi. Bugünkü İznik.","bithynia-coins"
"Kentaur Motifi","kentaur-motifi",CATEGORY_ID,1,1,"*","Yarı insan yarı at yaratık.","Kentaur","Yunan mitolojisinin ünlü yaratığı. Özellikle Tarsus sikkelerinde betimlenir. Yaban ve uygarlığın karışımını temsil eder.","general"
"Kalchedon - Körlerin Şehri","kalchedon-korler",CATEGORY_ID,1,1,"*","Delphoi kehanetinin ünlü şakası.","Kalchedon","Delphoi kehaneti 'körler şehri' dedi çünkü karşıdaki Byzantion'un mükemmel konumunu göremediler. Bugünkü Kadıköy.","bithynia-coins"
"Apameia - Nuh'un Gemisi","apameia-nuh",CATEGORY_ID,1,1,"*","Tufan efsanesinin Anadolu versiyonu.","Apameia","Sikkelerinde Nuh'un gemisi (veya Deucalion'un gemisi) betimleyen tek antik şehir. Yerel tufan efsanesi vardı.","phrygia-coins"
"Hierapolis - Pluto Kapısı","hierapolis-pluto",CATEGORY_ID,1,1,"*","Yeraltı dünyasına açılan efsanevi kapı.","Plutonium","Pluto Kapısı (Plutonium), zehirli gaz çıkaran mağara. Yeraltı tanrısı Pluto'nun girişi olduğuna inanılırdı. Pamukkale'de.","phrygia-coins"
"Kybele Kültü","kybele-kultu",CATEGORY_ID,1,1,"*","Anadolu'nun en eski ana tanrıça kültü.","Kybele","Anadolu'nun ana tanrıçası. Aslanlarla betimlenir. Pessinos'ta en önemli tapınağı vardı. Roma'ya taşınan ilk Doğu kültü.","general"
"Magistrat İsimleri","magistrat-isimleri",CATEGORY_ID,1,1,"*","Sikke üzerindeki yetkili isimleri.","Magistrat","Sikke basan yetkililerin isimleri sikkelere yazılırdı. Tarihleme ve tarihsel kişilerin belirlenmesinde önemli.","general"
"İncuse Tekniği","incuse-teknigi",CATEGORY_ID,1,1,"*","İlk sikkelerin arka yüz tekniği.","İncuse","İlk elektron sikkelerin arka yüzünde kullanılan çukur baskı tekniği. Ön yüzün negatifi gibi görünür.","general"
"Laodikeia - Yedi Kilise","laodikeia-yedi-kilise",CATEGORY_ID,1,1,"*","Vahiy kitabındaki yedi kiliseden biri.","Laodikeia","Vahiy kitabında bahsedilen yedi kiliseden biri. 'Ilık Hıristiyanlar' eleştirisi buranındır. Bugün Denizli yakınında.","phrygia-coins"
"Ankyra - Res Gestae","ankyra-res-gestae",CATEGORY_ID,1,1,"*","Augustus'un vasiyetnamesinin bulunduğu şehir.","Ankyra","Augustus'un vasiyetnamesi (Res Gestae) burada bulundu. Galatia'nın başkenti. Bugünkü Ankara.","galatia-coins"
"Kaisareia - Argaios Dağı","kaisareia-argaios",CATEGORY_ID,1,1,"*","Kutsal dağ Argaios'un betimlendiği şehir.","Kaisareia","Kappadokia'nın başkenti. Sikkelerinde kutsal Argaios Dağı (Erciyes) betimlidir. Modern Kayseri.","cappadocia-coins"
"Tyana - Apollonios","tyana-apollonios",CATEGORY_ID,1,1,"*","Filozofve mucizeler adamı Apollonios.","Apollonios","M.S. 1. yüzyılın ünlü filozofu ve mucizeler adamı Apollonios burada doğdu. Pythagoras okulunun takipçisiydi.","cappadocia-coins"
"Komana - Tapınak Devleti","komana-tapınak",CATEGORY_ID,1,1,"*","Bağımsız tapınak devleti yönetimi.","Komana","Ma tanrıçasının tapınağı etrafında oluşmuş tapınak devleti. Binlerce tapınak kölesinin çalıştığı merkez.","cappadocia-coins"
"Pegasos Motifi","pegasos-motifi",CATEGORY_ID,1,1,"*","Kanatlı at, özgürlük sembolü.","Pegasos","Yunan mitolojisinin kanatlı atı. Özellikle Korinthos sikkelerinde betimlenir. Özgürlük ve hayal gücünün sembolü.","general"
"Amisos - Mithradates","amisos-mithradates",CATEGORY_ID,1,1,"*","Roma'ya karşı direnen Pontus Kralı.","Mithradates","Pontus Kralı VI. Mithradates, Roma'ya karşı uzun savaşlar verdi. Amisos onun önemli üssüydü. Modern Samsun.","pontus-coins"
"Perge - Artemis Pergaia","perge-artemis",CATEGORY_ID,1,1,"*","Şehrin koruyucu tanrıçası.","Artemis Pergaia","Perge'nin koruyucu tanrıçası Artemis'in özel formu. Sikkelerde ok ve yay taşıyan avcı tanrıça olarak betimlenir.","pamphylia-coins"
"Quadriga","quadriga",CATEGORY_ID,1,1,"*","Dört atlı savaş arabası motifi.","Quadriga","Dört at tarafından çekilen savaş arabası. Sikkelerde zafer sembolü olarak betimlenir. Yarış ve savaşı temsil eder.","general"
"Akdeniz Foku","akdeniz-foku",CATEGORY_ID,1,1,"*","Phokaia'nın sembolü ve şehrin ismi.","Phokaia","Şehrin adı Yunanca 'fok' anlamına gelir. Phokaia sikkeleri fok hayvanı betimler. Denizcilik şehrinin sembolü.","ionia-coins"
